[15:31:23.5042735] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Puffmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[15:31:23.5042735] [Info   : LethalMin] LethalMin: Registering Items
[15:31:23.5249431] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[15:31:23.5623635] [Info   : LethalMin] Registering 10 Pikmin Types
[15:31:23.5643636] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[15:31:23.5653634] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[15:31:23.5698732] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[15:31:23.5698732] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[15:31:23.5698732] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[15:31:23.5698732] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[15:31:23.5708727] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[15:31:23.5728800] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[15:31:23.5738802] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[15:31:23.5738802] [Debug  : LethalMin] SetGhostColor set to True
[15:31:23.5738802] [Debug  : LethalMin] DisableRegistration set to False
[15:31:23.5738802] [Debug  : LethalMin] SetColorOnSprout set to True
[15:31:23.5738802] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[15:31:23.5738802] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[15:31:23.5753873] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[15:31:23.5763929] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[15:31:23.5763929] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[15:31:23.5773945] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[15:31:23.5773945] [Debug  : LethalMin] DefaultSpeed set to 1
[15:31:23.5773945] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[15:31:23.5773945] [Debug  : LethalMin] CarryStrength set to 3
[15:31:23.5789021] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[15:31:23.5809123] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[15:31:23.5809123] [Debug  : LethalMin] ItemDetectionRange set to 5
[15:31:23.5809123] [Debug  : LethalMin] CanLatchOnToObjects set to True
[15:31:23.5809123] [Debug  : LethalMin] CanJumpOntoObjects set to True
[15:31:23.5819079] [Debug  : LethalMin] CanCarryObjects set to True
[15:31:23.5819079] [Debug  : LethalMin] AttackStrength set to 1
[15:31:23.5819079] [Debug  : LethalMin] AttackRate set to 0.5
[15:31:23.5819079] [Debug  : LethalMin] AttackDistance set to 0.5
[15:31:23.5819079] [Debug  : LethalMin] JumpLatchOnRange set to 5
[15:31:23.5829113] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[15:31:23.5829113] [Debug  : LethalMin] DeathDamageRange set to 0
[15:31:23.5829113] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[15:31:23.5829113] [Debug  : LethalMin] ShakeEndurance set to 0.75
[15:31:23.5829113] [Debug  : LethalMin] SpawnsIndoors set to False
[15:31:23.5839094] [Debug  : LethalMin] SpawnsOutdoors set to True
[15:31:23.5839094] [Debug  : LethalMin] SpawnsAsSprout set to True
[15:31:23.5839094] [Debug  : LethalMin] UsesPikminContainer set to False
[15:31:23.5839094] [Debug  : LethalMin] SpawnAfterDay set to -1
[15:31:23.5849086] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.5849086] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.5849086] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[15:31:23.5849086] [Debug  : LethalMin] InstaEnterOnion set to False
[15:31:23.5849086] [Debug  : LethalMin] UsePresetFormatting set to True
[15:31:23.5859090] [Debug  : LethalMin] HelpfulLevel set to 45%
[15:31:23.5859090] [Debug  : LethalMin] ScientificName set to Pikminidae caerula
[15:31:23.5859090] [Debug  : LethalMin] piklopediaName set to 
[15:31:23.5859090] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[15:31:23.5859090] [Info   : LethalMin] Config file generated for Pikmin Type: Blue Pikmin at BepInEx/BepInEx\config\Pikmin\Blue Pikmin.cfg
[15:31:23.5889482] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Blue Pikmin"
[15:31:23.5910695] [Info   : LethalMin] Added event at time (4.59) for Pikmin_Stretch
[15:31:23.5910695] [Info   : LethalMin] Added event at time (3.956667) for Pikmin_Yawn
[15:31:23.5910695] [Message: LethalMin] Registered Pikmin Type: Blue Pikmin with ID: 0
[15:31:23.5910695] [Message: LethalMin] Registering Pikmin Type: Bulbmin
[15:31:23.5910695] [Info   : LethalMin] Generating config file for Pikmin Type: Bulbmin
[15:31:23.5920698] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.906, 0.608, 0.365, 1.000)
[15:31:23.5930680] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.224, 0.000, 1.000)
[15:31:23.5930680] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[15:31:23.5930680] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[15:31:23.5930680] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[15:31:23.5930680] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.50)
[15:31:23.5940685] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, -0.25)
[15:31:23.5940685] [Debug  : LethalMin] SetGhostColor set to False
[15:31:23.5940685] [Debug  : LethalMin] DisableRegistration set to False
[15:31:23.5940685] [Debug  : LethalMin] SetColorOnSprout set to True
[15:31:23.5940685] [Debug  : LethalMin] UseOverrideSproutGlowColor set to True
