[17:30:47.2509151] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Puffmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[17:30:47.2509151] [Info   : LethalMin] LethalMin: Registering Items
[17:30:47.2714437] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[17:30:47.3075781] [Info   : LethalMin] Registering 10 Pikmin Types
[17:30:47.3085832] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[17:30:47.3095876] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[17:30:47.3155883] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[17:30:47.3155883] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[17:30:47.3155883] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[17:30:47.3155883] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[17:30:47.3155883] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[17:30:47.3180973] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[17:30:47.3180973] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[17:30:47.3191026] [Debug  : LethalMin] SetGhostColor set to True
[17:30:47.3191026] [Debug  : LethalMin] DisableRegistration set to False
[17:30:47.3191026] [Debug  : LethalMin] SetColorOnSprout set to True
[17:30:47.3191026] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[17:30:47.3191026] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[17:30:47.3201021] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3211023] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3211023] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[17:30:47.3211023] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[17:30:47.3211023] [Debug  : LethalMin] DefaultSpeed set to 1
[17:30:47.3221018] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[17:30:47.3221018] [Debug  : LethalMin] CarryStrength set to 3
[17:30:47.3221018] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[17:30:47.3241008] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[17:30:47.3241008] [Debug  : LethalMin] ItemDetectionRange set to 5
[17:30:47.3251017] [Debug  : LethalMin] CanLatchOnToObjects set to True
[17:30:47.3251017] [Debug  : LethalMin] CanJumpOntoObjects set to True
[17:30:47.3251017] [Debug  : LethalMin] CanCarryObjects set to True
[17:30:47.3251017] [Debug  : LethalMin] AttackStrength set to 1
[17:30:47.3251017] [Debug  : LethalMin] AttackRate set to 0.5
[17:30:47.3251017] [Debug  : LethalMin] AttackDistance set to 0.5
[17:30:47.3251017] [Debug  : LethalMin] JumpLatchOnRange set to 5
[17:30:47.3261025] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[17:30:47.3261025] [Debug  : LethalMin] DeathDamageRange set to 0
[17:30:47.3261025] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[17:30:47.3261025] [Debug  : LethalMin] ShakeEndurance set to 0.75
[17:30:47.3261025] [Debug  : LethalMin] SpawnsIndoors set to False
[17:30:47.3261025] [Debug  : LethalMin] SpawnsOutdoors set to True
[17:30:47.3261025] [Debug  : LethalMin] SpawnsAsSprout set to True
[17:30:47.3271023] [Debug  : LethalMin] UsesPikminContainer set to False
[17:30:47.3271023] [Debug  : LethalMin] SpawnAfterDay set to -1
[17:30:47.3271023] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3276062] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3276062] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3276062] [Debug  : LethalMin] InstaEnterOnion set to False
[17:30:47.3276062] [Debug  : LethalMin] UsePresetFormatting set to True
[17:30:47.3276062] [Debug  : LethalMin] HelpfulLevel set to 45%
[17:30:47.3276062] [Debug  : LethalMin] ScientificName set to Pikminidae caerula
[17:30:47.3276062] [Debug  : LethalMin] piklopediaName set to 
[17:30:47.3276062] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[17:30:47.3276062] [Info   : LethalMin] Config file generated for Pikmin Type: Blue Pikmin at BepInEx/BepInEx\config\Pikmin\Blue Pikmin.cfg
[17:30:47.3301140] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Blue Pikmin"
[17:30:47.3321151] [Info   : LethalMin] Added event at time (4.59) for Pikmin_Stretch
[17:30:47.3321151] [Info   : LethalMin] Added event at time (3.956667) for Pikmin_Yawn
[17:30:47.3351596] [Message: LethalMin] Registered Pikmin Type: Blue Pikmin with ID: 0
[17:30:47.3351596] [Message: LethalMin] Registering Pikmin Type: Bulbmin
[17:30:47.3351596] [Info   : LethalMin] Generating config file for Pikmin Type: Bulbmin
[17:30:47.3426723] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.906, 0.608, 0.365, 1.000)
[17:30:47.3426723] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.224, 0.000, 1.000)
[17:30:47.3426723] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[17:30:47.3426723] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[17:30:47.3426723] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[17:30:47.3436716] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.50)
[17:30:47.3436716] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, -0.25)
[17:30:47.3436716] [Debug  : LethalMin] SetGhostColor set to False
[17:30:47.3436716] [Debug  : LethalMin] DisableRegistration set to False
[17:30:47.3436716] [Debug  : LethalMin] SetColorOnSprout set to True
[17:30:47.3436716] [Debug  : LethalMin] UseOverrideSproutGlowColor set to True
[17:30:47.3436716] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(0.220, 1.000, 0.000, 1.000)
[17:30:47.3436716] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3446729] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[17:30:47.3446729] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[17:30:47.3446729] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[17:30:47.3446729] [Debug  : LethalMin] DefaultSpeed set to 1
[17:30:47.3446729] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[17:30:47.3446729] [Debug  : LethalMin] CarryStrength set to 3
[17:30:47.3446729] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[17:30:47.3456728] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[17:30:47.3456728] [Debug  : LethalMin] ItemDetectionRange set to 5
[17:30:47.3456728] [Debug  : LethalMin] CanLatchOnToObjects set to True
[17:30:47.3456728] [Debug  : LethalMin] CanJumpOntoObjects set to True
[17:30:47.3456728] [Debug  : LethalMin] CanCarryObjects set to True
[17:30:47.3456728] [Debug  : LethalMin] AttackStrength set to 1
[17:30:47.3456728] [Debug  : LethalMin] AttackRate set to 0.5
[17:30:47.3456728] [Debug  : LethalMin] AttackDistance set to 0.5
[17:30:47.3456728] [Debug  : LethalMin] JumpLatchOnRange set to 5
[17:30:47.3456728] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[17:30:47.3456728] [Debug  : LethalMin] DeathDamageRange set to 0
[17:30:47.3456728] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[17:30:47.3471777] [Debug  : LethalMin] ShakeEndurance set to 0.75
[17:30:47.3471777] [Debug  : LethalMin] SpawnsIndoors set to True
[17:30:47.3471777] [Debug  : LethalMin] SpawnsOutdoors set to False
[17:30:47.3471777] [Debug  : LethalMin] SpawnsAsSprout set to False
[17:30:47.3471777] [Debug  : LethalMin] UsesPikminContainer set to False
[17:30:47.3471777] [Debug  : LethalMin] SpawnAfterDay set to -1
[17:30:47.3471777] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[17:30:47.3471777] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
