[17:35:35.6860361] [Debug  : LightsOut] DiscardItem Jetpack
[17:35:39.3568774] [Info   : Unity Log] Called finishopeningentrance (False)
[17:35:39.3568774] [Info   : Unity Log] 'EntranceTeleportA' STOPPING entrancePointAudio
[17:35:39.3648732] [Debug  :PizzaTowerEscapeMusic GameEventListener] Player entered facility
[17:35:39.3658772] [Debug  : LethalMin] Setting pikmin to entrance: True
[17:35:39.3658772] [Info   : LethalMin] Purple Pikmin_rKa2: Warping to position around leader at angle -90 degrees
[17:35:39.3658772] [Info   : LethalMin] Purple Pikmin_y8qD5r: Warping to position around leader at angle -81.42857 degrees
[17:35:39.3658772] [Info   : LethalMin] Purple Pikmin_EKPWp: Warping to position around leader at angle -72.85714 degrees
[17:35:39.3658772] [Info   : LethalMin] Purple Pikmin_evzc4: Warping to position around leader at angle -64.28571 degrees
[17:35:39.3658772] [Info   : LethalMin] Purple Pikmin_51w0Zom: Warping to position around leader at angle -55.71429 degrees
[17:35:39.3658772] [Info   : LethalMin] Purple Pikmin_bRqe: Warping to position around leader at angle -47.14286 degrees
[17:35:39.3658772] [Info   : LethalMin] Purple Pikmin_4WYiK: Warping to position around leader at angle -38.57143 degrees
[17:35:39.3658772] [Info   : LethalMin] White Pikmin_deVvFe: Warping to position around leader at angle -30 degrees
[17:35:39.3658772] [Info   : LethalMin] White Pikmin_Md8MI: Warping to position around leader at angle -21.42857 degrees
[17:35:39.3658772] [Info   : LethalMin] White Pikmin_ddF5L: Warping to position around leader at angle -12.85714 degrees
[17:35:39.3658772] [Info   : LethalMin] White Pikmin_2FoB: Warping to position around leader at angle -4.285714 degrees
[17:35:39.3658772] [Info   : LethalMin] White Pikmin_FjliuFV: Warping to position around leader at angle 4.285714 degrees
[17:35:39.3658772] [Info   : LethalMin] White Pikmin_ICMO7: Warping to position around leader at angle 12.85714 degrees
[17:35:39.3658772] [Info   : LethalMin] White Pikmin_Lw2dTVF: Warping to position around leader at angle 21.42857 degrees
[17:35:39.3658772] [Info   : LethalMin] White Pikmin_TzDCc: Warping to position around leader at angle 30 degrees
[17:35:39.3658772] [Info   : LethalMin] White Pikmin_Gono4bn: Warping to position around leader at angle 38.57143 degrees
[17:35:39.3658772] [Info   : LethalMin] White Pikmin_u7yjpLI: Warping to position around leader at angle 47.14286 degrees
