[18:08:15.1874333] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Puffmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[18:08:15.1874333] [Info   : LethalMin] LethalMin: Registering Items
[18:08:15.2090188] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[18:08:15.2436391] [Info   : LethalMin] Registering 10 Pikmin Types
[18:08:15.2456445] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[18:08:15.2466461] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[18:08:15.2521532] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[18:08:15.2531557] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[18:08:15.2531557] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[18:08:15.2531557] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[18:08:15.2531557] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[18:08:15.2554679] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[18:08:15.2554679] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[18:08:15.2564665] [Debug  : LethalMin] SetGhostColor set to True
[18:08:15.2564665] [Debug  : LethalMin] DisableRegistration set to False
[18:08:15.2564665] [Debug  : LethalMin] SetColorOnSprout set to True
[18:08:15.2564665] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[18:08:15.2564665] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[18:08:15.2584643] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[18:08:15.2584643] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[18:08:15.2594662] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[18:08:15.2594662] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[18:08:15.2594662] [Debug  : LethalMin] DefaultSpeed set to 1
[18:08:15.2594662] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[18:08:15.2594662] [Debug  : LethalMin] CarryStrength set to 3
[18:08:15.2604654] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[18:08:15.2614667] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[18:08:15.2614667] [Debug  : LethalMin] ItemDetectionRange set to 5
[18:08:15.2614667] [Debug  : LethalMin] CanLatchOnToObjects set to True
[18:08:15.2629718] [Debug  : LethalMin] CanJumpOntoObjects set to True
[18:08:15.2629718] [Debug  : LethalMin] CanCarryObjects set to True
[18:08:15.2629718] [Debug  : LethalMin] AttackStrength set to 1
[18:08:15.2629718] [Debug  : LethalMin] AttackRate set to 0.5
[18:08:15.2629718] [Debug  : LethalMin] AttackDistance set to 0.5
[18:08:15.2629718] [Debug  : LethalMin] JumpLatchOnRange set to 5
[18:08:15.2629718] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[18:08:15.2639772] [Debug  : LethalMin] DeathDamageRange set to 0
[18:08:15.2639772] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[18:08:15.2639772] [Debug  : LethalMin] ShakeEndurance set to 0.75
[18:08:15.2639772] [Debug  : LethalMin] SpawnsIndoors set to False
[18:08:15.2639772] [Debug  : LethalMin] SpawnsOutdoors set to True
[18:08:15.2639772] [Debug  : LethalMin] SpawnsAsSprout set to True
[18:08:15.2639772] [Debug  : LethalMin] UsesPikminContainer set to False
[18:08:15.2649786] [Debug  : LethalMin] SpawnAfterDay set to -1
[18:08:15.2649786] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[18:08:15.2649786] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[18:08:15.2649786] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[18:08:15.2649786] [Debug  : LethalMin] InstaEnterOnion set to False
[18:08:15.2649786] [Debug  : LethalMin] UsePresetFormatting set to True
[18:08:15.2659779] [Debug  : LethalMin] HelpfulLevel set to 45%
[18:08:15.2659779] [Debug  : LethalMin] ScientificName set to Pikminidae caerula
[18:08:15.2659779] [Debug  : LethalMin] piklopediaName set to 
[18:08:15.2659779] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[18:08:15.2659779] [Info   : LethalMin] Config file generated for Pikmin Type: Blue Pikmin at BepInEx/BepInEx\config\Pikmin\Blue Pikmin.cfg
[18:08:15.2679791] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Blue Pikmin"
[18:08:15.2699804] [Info   : LethalMin] Added event at time (4.59) for Pikmin_Stretch
[18:08:15.2699804] [Info   : LethalMin] Added event at time (3.956667) for Pikmin_Yawn
[18:08:15.2699804] [Message: LethalMin] Registered Pikmin Type: Blue Pikmin with ID: 0
[18:08:15.2699804] [Message: LethalMin] Registering Pikmin Type: Bulbmin
[18:08:15.2699804] [Info   : LethalMin] Generating config file for Pikmin Type: Bulbmin
[18:08:15.2760550] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.906, 0.608, 0.365, 1.000)
[18:08:15.2770533] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.224, 0.000, 1.000)
[18:08:15.2770533] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[18:08:15.2770533] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[18:08:15.2770533] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[18:08:15.2770533] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.50)
[18:08:15.2770533] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, -0.25)
[18:08:15.2770533] [Debug  : LethalMin] SetGhostColor set to False
[18:08:15.2770533] [Debug  : LethalMin] DisableRegistration set to False
[18:08:15.2770533] [Debug  : LethalMin] SetColorOnSprout set to True
[18:08:15.2770533] [Debug  : LethalMin] UseOverrideSproutGlowColor set to True
[18:08:15.2770533] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(0.220, 1.000, 0.000, 1.000)
[18:08:15.2780537] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[18:08:15.2780537] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[18:08:15.2780537] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[18:08:15.2780537] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[18:08:15.2780537] [Debug  : LethalMin] DefaultSpeed set to 1
[18:08:15.2780537] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[18:08:15.2780537] [Debug  : LethalMin] CarryStrength set to 3
[18:08:15.2780537] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[18:08:15.2790550] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[18:08:15.2790550] [Debug  : LethalMin] ItemDetectionRange set to 5
[18:08:15.2790550] [Debug  : LethalMin] CanLatchOnToObjects set to True
[18:08:15.2790550] [Debug  : LethalMin] CanJumpOntoObjects set to True
[18:08:15.2790550] [Debug  : LethalMin] CanCarryObjects set to True
[18:08:15.2790550] [Debug  : LethalMin] AttackStrength set to 1
[18:08:15.2790550] [Debug  : LethalMin] AttackRate set to 0.5
[18:08:15.2790550] [Debug  : LethalMin] AttackDistance set to 0.5
[18:08:15.2790550] [Debug  : LethalMin] JumpLatchOnRange set to 5
[18:08:15.2800552] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[18:08:15.2800552] [Debug  : LethalMin] DeathDamageRange set to 0
[18:08:15.2800552] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[18:08:15.2800552] [Debug  : LethalMin] ShakeEndurance set to 0.75
[18:08:15.2800552] [Debug  : LethalMin] SpawnsIndoors set to True
[18:08:15.2800552] [Debug  : LethalMin] SpawnsOutdoors set to False
[18:08:15.2800552] [Debug  : LethalMin] SpawnsAsSprout set to False
[18:08:15.2800552] [Debug  : LethalMin] UsesPikminContainer set to False
[18:08:15.2800552] [Debug  : LethalMin] SpawnAfterDay set to -1
[18:08:15.2810533] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[18:08:15.2810533] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[18:08:15.2810533] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[18:08:15.2810533] [Debug  : LethalMin] InstaEnterOnion set to False
[18:08:15.2810533] [Debug  : LethalMin] UsePresetFormatting set to True
[18:08:15.2810533] [Debug  : LethalMin] HelpfulLevel set to 60%
[18:08:15.2810533] [Debug  : LethalMin] ScientificName set to Parasiticus pikminicus
[18:08:15.2810533] [Debug  : LethalMin] piklopediaName set to 
[18:08:15.2810533] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[18:08:15.2810533] [Info   : LethalMin] Config file generated for Pikmin Type: Bulbmin at BepInEx/BepInEx\config\Pikmin\Bulbmin.cfg
[18:08:15.2831445] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Bulbmin"
[18:08:15.2831445] [Message: LethalMin] Registered Pikmin Type: Bulbmin with ID: 1
[18:08:15.2831445] [Message: LethalMin] Registering Pikmin Type: Glow Pikmin
[18:08:15.2831445] [Info   : LethalMin] Generating config file for Pikmin Type: Glow Pikmin
[18:08:15.2851539] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 0.008, 1.000)
[18:08:15.2851539] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.102, 0.565, 0.035, 1.000)
[18:08:15.2851539] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[18:08:15.2851539] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[18:08:15.2851539] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[18:08:15.2851539] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[18:08:15.2851539] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[18:08:15.2851539] [Debug  : LethalMin] SetGhostColor set to True
[18:08:15.2851539] [Debug  : LethalMin] DisableRegistration set to False
[18:08:15.2851539] [Debug  : LethalMin] SetColorOnSprout set to True
[18:08:15.2861532] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[18:08:15.2861532] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[18:08:15.2861532] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[18:08:15.2861532] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[18:08:15.2861532] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[18:08:15.2861532] [Debug  : LethalMin] GrowSpeedMultiplier set to 5
[18:08:15.2861532] [Debug  : LethalMin] DefaultSpeed set to 1
[18:08:15.2871544] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[18:08:15.2871544] [Debug  : LethalMin] CarryStrength set to 3
[18:08:15.2871544] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[18:08:15.2871544] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[18:08:15.2871544] [Debug  : LethalMin] ItemDetectionRange set to 5
[18:08:15.2871544] [Debug  : LethalMin] CanLatchOnToObjects set to True
[18:08:15.2871544] [Debug  : LethalMin] CanJumpOntoObjects set to True
[18:08:15.2871544] [Debug  : LethalMin] CanCarryObjects set to True
[18:08:15.2881522] [Debug  : LethalMin] AttackStrength set to 1
[18:08:15.2881522] [Debug  : LethalMin] AttackRate set to 0.5
[18:08:15.2881522] [Debug  : LethalMin] AttackDistance set to 0.5
[18:08:15.2881522] [Debug  : LethalMin] JumpLatchOnRange set to 5
[18:08:15.2881522] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[18:08:15.2881522] [Debug  : LethalMin] DeathDamageRange set to 0
[18:08:15.2881522] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[18:08:15.2881522] [Debug  : LethalMin] ShakeEndurance set to 0.75
