[10:30:19.9108428] [Info   : LethalMin] Adding PikminItem Compoent to PantiesItem
[10:30:19.9108428] [Debug  : LethalMin] Calculated weight for Panties: 0 lb, Devided weight: 0 lb
[10:30:19.9118471] [Debug  : LethalMin] (PantiesItem) Colider: PantiesItem (UnityEngine.BoxCollider)
[10:30:19.9118471] [Debug  : LethalMin] (PantiesItem) Center: (-0.10, 0.14, -0.24)
[10:30:19.9118471] [Debug  : LethalMin] Creating counter for PantiesItem
[10:30:19.9118471] [Info   : LethalMin] Adding PikminItem Compoent to PinkRecorderItem
[10:30:19.9118471] [Debug  : LethalMin] Calculated weight for Pink Recorder: 28 lb, Devided weight: 11.2 lb
[10:30:19.9118471] [Debug  : LethalMin] (PinkRecorderItem) Colider: PinkRecorderItem (UnityEngine.BoxCollider)
[10:30:19.9118471] [Debug  : LethalMin] (PinkRecorderItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9118471] [Debug  : LethalMin] Creating counter for PinkRecorderItem
[10:30:19.9118471] [Info   : LethalMin] Adding PikminItem Compoent to PumpkinItem
[10:30:19.9118471] [Debug  : LethalMin] Calculated weight for Pumpkin: 8 lb, Devided weight: 3.2 lb
[10:30:19.9118471] [Debug  : LethalMin] (PumpkinItem) Colider: PumpkinItem (UnityEngine.BoxCollider)
[10:30:19.9118471] [Debug  : LethalMin] (PumpkinItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9118471] [Debug  : LethalMin] Creating counter for PumpkinItem
[10:30:19.9118471] [Info   : LethalMin] Adding PikminItem Compoent to RemoteTVItem
[10:30:19.9118471] [Debug  : LethalMin] Calculated weight for TV Remote: 0 lb, Devided weight: 0 lb
[10:30:19.9118471] [Debug  : LethalMin] (RemoteTVItem) Colider: RemoteTVItem (UnityEngine.BoxCollider)
[10:30:19.9118471] [Debug  : LethalMin] (RemoteTVItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9118471] [Debug  : LethalMin] Creating counter for RemoteTVItem
[10:30:19.9118471] [Info   : LethalMin] Adding PikminItem Compoent to RoomFanItem
[10:30:19.9118471] [Debug  : LethalMin] Calculated weight for Room Fan: 0 lb, Devided weight: 0 lb
[10:30:19.9118471] [Debug  : LethalMin] (RoomFanItem) Colider: RoomFanItem (UnityEngine.BoxCollider)
[10:30:19.9118471] [Debug  : LethalMin] (RoomFanItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9118471] [Debug  : LethalMin] Creating counter for RoomFanItem
[10:30:19.9118471] [Info   : LethalMin] Adding PikminItem Compoent to ServerBatteryItem
[10:30:19.9118471] [Debug  : LethalMin] Calculated weight for Server Battery: 1 lb, Devided weight: 0.4 lb
[10:30:19.9118471] [Debug  : LethalMin] (ServerBatteryItem) Colider: ServerBatteryItem (UnityEngine.BoxCollider)
[10:30:19.9118471] [Debug  : LethalMin] (ServerBatteryItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9118471] [Debug  : LethalMin] Creating counter for ServerBatteryItem
[10:30:19.9129238] [Info   : LethalMin] Adding PikminItem Compoent to ServerBlockItem
[10:30:19.9129238] [Debug  : LethalMin] Calculated weight for Server Block: 21 lb, Devided weight: 8.4 lb
[10:30:19.9129238] [Debug  : LethalMin] (ServerBlockItem) Colider: ServerBlockItem (UnityEngine.BoxCollider)
[10:30:19.9129238] [Debug  : LethalMin] (ServerBlockItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9129238] [Debug  : LethalMin] Creating counter for ServerBlockItem
[10:30:19.9129238] [Info   : LethalMin] Adding PikminItem Compoent to ServerMonitor1Item
[10:30:19.9129238] [Debug  : LethalMin] Calculated weight for Lengthy Server Monitor: 24 lb, Devided weight: 9.6 lb
[10:30:19.9129238] [Debug  : LethalMin] (ServerMonitor1Item) Colider: ServerMonitor1Item (UnityEngine.BoxCollider)
[10:30:19.9129238] [Debug  : LethalMin] (ServerMonitor1Item) Center: (0.00, 0.00, 0.00)
[10:30:19.9129238] [Debug  : LethalMin] Creating counter for ServerMonitor1Item
[10:30:19.9129238] [Info   : LethalMin] Adding PikminItem Compoent to ServerMonitor2Item
[10:30:19.9129238] [Debug  : LethalMin] Calculated weight for Server Monitor: 21 lb, Devided weight: 8.4 lb
[10:30:19.9129238] [Debug  : LethalMin] (ServerMonitor2Item) Colider: ServerMonitor2Item (UnityEngine.BoxCollider)
[10:30:19.9129238] [Debug  : LethalMin] (ServerMonitor2Item) Center: (0.00, 0.00, 0.00)
[10:30:19.9129238] [Debug  : LethalMin] Creating counter for ServerMonitor2Item
[10:30:19.9139238] [Info   : LethalMin] Adding PikminItem Compoent to SlicedStatueItem
[10:30:19.9139238] [Debug  : LethalMin] Calculated weight for Statue: 26 lb, Devided weight: 10.4 lb
[10:30:19.9139238] [Debug  : LethalMin] (SlicedStatueItem) Colider: SlicedStatueItem (UnityEngine.BoxCollider)
[10:30:19.9139238] [Debug  : LethalMin] (SlicedStatueItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9139238] [Debug  : LethalMin] Creating counter for SlicedStatueItem
[10:30:19.9139238] [Info   : LethalMin] Adding PikminItem Compoent to TablesClocksItem
[10:30:19.9139238] [Debug  : LethalMin] Calculated weight for Fancy Clock: 47 lb, Devided weight: 18.8 lb
[10:30:19.9139238] [Debug  : LethalMin] (TablesClocksItem) Colider: TablesClocksItem (UnityEngine.BoxCollider)
[10:30:19.9139238] [Debug  : LethalMin] (TablesClocksItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9139238] [Debug  : LethalMin] Creating counter for TablesClocksItem
[10:30:19.9139238] [Info   : LethalMin] Adding PikminItem Compoent to TableFlowerItem
[10:30:19.9139238] [Debug  : LethalMin] Calculated weight for Table Flower: 0 lb, Devided weight: 0 lb
[10:30:19.9139238] [Debug  : LethalMin] (TableFlowerItem) Colider: TableFlowerItem (UnityEngine.BoxCollider)
[10:30:19.9139238] [Debug  : LethalMin] (TableFlowerItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9139238] [Debug  : LethalMin] Creating counter for TableFlowerItem
[10:30:19.9149211] [Info   : LethalMin] Adding PikminItem Compoent to TapePlayerItem
[10:30:19.9149211] [Debug  : LethalMin] Calculated weight for Tape Player: 20 lb, Devided weight: 8 lb
[10:30:19.9149211] [Debug  : LethalMin] (TapePlayerItem) Colider: TapePlayerItem (UnityEngine.BoxCollider)
[10:30:19.9149211] [Debug  : LethalMin] (TapePlayerItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9149211] [Debug  : LethalMin] Creating counter for TapePlayerItem
[10:30:19.9149211] [Info   : LethalMin] Adding PikminItem Compoent to TeddyItem
[10:30:19.9149211] [Debug  : LethalMin] Calculated weight for Teddy: 0 lb, Devided weight: 0 lb
[10:30:19.9149211] [Debug  : LethalMin] (TeddyItem) Colider: TeddyItem (UnityEngine.BoxCollider)
[10:30:19.9149211] [Debug  : LethalMin] (TeddyItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9149211] [Debug  : LethalMin] Creating counter for TeddyItem
[10:30:19.9149211] [Info   : LethalMin] Adding PikminItem Compoent to ToiletBrushItem
[10:30:19.9149211] [Debug  : LethalMin] Calculated weight for Toilet Brush: 0 lb, Devided weight: 0 lb
[10:30:19.9149211] [Debug  : LethalMin] (ToiletBrushItem) Colider: ToiletBrushItem (UnityEngine.BoxCollider)
[10:30:19.9149211] [Debug  : LethalMin] (ToiletBrushItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9149211] [Debug  : LethalMin] Creating counter for ToiletBrushItem
[10:30:19.9149211] [Info   : LethalMin] Adding PikminItem Compoent to ToiletInceptionItem
[10:30:19.9149211] [Debug  : LethalMin] Calculated weight for Toilet Inception: 63 lb, Devided weight: 25.2 lb
[10:30:19.9149211] [Debug  : LethalMin] (ToiletInceptionItem) Colider: ToiletInceptionItem (UnityEngine.BoxCollider)
[10:30:19.9149211] [Debug  : LethalMin] (ToiletInceptionItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9159211] [Debug  : LethalMin] Creating counter for ToiletInceptionItem
[10:30:19.9159211] [Info   : LethalMin] Adding PikminItem Compoent to TripodCameraItem
[10:30:19.9159211] [Debug  : LethalMin] Calculated weight for Tripod Camera: 23 lb, Devided weight: 9.2 lb
[10:30:19.9159211] [Debug  : LethalMin] (TripodCameraItem) Colider: TripodCameraItem (UnityEngine.BoxCollider)
[10:30:19.9159211] [Debug  : LethalMin] (TripodCameraItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9159211] [Debug  : LethalMin] Creating counter for TripodCameraItem
[10:30:19.9159211] [Info   : LethalMin] Adding PikminItem Compoent to UmbrellaItem
[10:30:19.9159211] [Debug  : LethalMin] Calculated weight for Umbrella: 5 lb, Devided weight: 2 lb
[10:30:19.9159211] [Debug  : LethalMin] (UmbrellaItem) Colider: UmbrellaItem (UnityEngine.BoxCollider)
[10:30:19.9159211] [Debug  : LethalMin] (UmbrellaItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9159211] [Debug  : LethalMin] Creating counter for UmbrellaItem
[10:30:19.9159211] [Info   : LethalMin] Adding PikminItem Compoent to WifePhotosItem
[10:30:19.9159211] [Debug  : LethalMin] Calculated weight for Framed Photo: 6 lb, Devided weight: 2.4 lb
[10:30:19.9159211] [Debug  : LethalMin] (WifePhotosItem) Colider: WifePhotosItem (UnityEngine.BoxCollider)
[10:30:19.9159211] [Debug  : LethalMin] (WifePhotosItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9159211] [Debug  : LethalMin] Creating counter for WifePhotosItem
