[10:31:24.0463438] [Info   :KawaiiBone.Remnants] Patching remnant items.
[10:31:24.0473432] [Info   :KawaiiBone.Remnants] Randomizing items batteries.
[10:31:24.0483432] [Info   :KawaiiBone.Remnants] Spawning bodies.
[10:31:24.0483432] [Warning:KawaiiBone.Remnants] List to spawn bodies on, is null or is empty!
[10:31:24.0483432] [Info   :KawaiiBone.Remnants] Patching spawn remnant items.
[10:31:24.0527893] [Info   :KawaiiBone.Remnants] Patching end of Spawn Scrap.
[10:31:24.0532928] [Info   : LethalMin] Spawing Onion items
[10:31:24.1203932] [Info   : Unity Log] Anomaly random yrotation farthest: 298
[10:31:24.1203932] [Info   : Unity Log] Anomaly random yrotation farthest: 2
[10:31:24.1229038] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/Unknown/Medic Bag"
[10:31:24.1697315] [Info   : Unity Log] Anomaly random yrotation farthest: 244
[10:31:24.1717330] [Info   : Unity Log] Anomaly random yrotation farthest: -5
[10:31:24.1717330] [Info   : Unity Log] Anomaly random yrotation farthest: 126
[10:31:24.1717330] [Info   : Unity Log] Anomaly random yrotation farthest: 71
[10:31:24.1717330] [Info   : Unity Log] Anomaly random yrotation farthest: 106
[10:31:24.1851822] [Debug  :ReXuvination] Optimised Collider layers in PlayerPhysicsRegion for Object: PlayerPhysicsRegion (UnityEngine.GameObject)
[10:31:24.1964573] [Debug  :ReXuvination] Optimised Collider layers in PlayerPhysicsRegion for Object: PlayerPhysicsRegion (UnityEngine.GameObject)
[10:31:24.2085143] [Info   :LethalFixes] Cached 0 Outside Map Objects
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[10:31:24.2215326] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
