[16:04:28.5922567] [Info   : LethalMin] LethalMin: Registering Items
[16:04:28.6122807] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[16:04:28.6454553] [Info   : LethalMin] Registering 10 Pikmin Types
[16:04:28.6464538] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[16:04:28.6474583] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[16:04:28.6577785] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[16:04:28.6587784] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[16:04:28.6587784] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[16:04:28.6587784] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[16:04:28.6587784] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[16:04:28.6612874] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[16:04:28.6612874] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[16:04:28.6622861] [Debug  : LethalMin] SetGhostColor set to True
[16:04:28.6622861] [Debug  : LethalMin] DisableRegistration set to False
[16:04:28.6622861] [Debug  : LethalMin] SetColorOnSprout set to True
[16:04:28.6622861] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[16:04:28.6622861] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[16:04:28.6632895] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[16:04:28.6642926] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[16:04:28.6642926] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[16:04:28.6642926] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[16:04:28.6652898] [Debug  : LethalMin] DefaultSpeed set to 1
[16:04:28.6652898] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[16:04:28.6652898] [Debug  : LethalMin] CarryStrength set to 3
[16:04:28.6652898] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[16:04:28.6672910] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[16:04:28.6672910] [Debug  : LethalMin] ItemDetectionRange set to 5
[16:04:28.6672910] [Debug  : LethalMin] CanLatchOnToObjects set to True
[16:04:28.6682914] [Debug  : LethalMin] CanJumpOntoObjects set to True
[16:04:28.6682914] [Debug  : LethalMin] CanCarryObjects set to True
[16:04:28.6682914] [Debug  : LethalMin] AttackStrength set to 1
[16:04:28.6682914] [Debug  : LethalMin] AttackRate set to 0.5
[16:04:28.6682914] [Debug  : LethalMin] AttackDistance set to 0.5
[16:04:28.6682914] [Debug  : LethalMin] JumpLatchOnRange set to 5
[16:04:28.6682914] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[16:04:28.6692897] [Debug  : LethalMin] DeathDamageRange set to 0
[16:04:28.6692897] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[16:04:28.6692897] [Debug  : LethalMin] ShakeEndurance set to 0.75
[16:04:28.6692897] [Debug  : LethalMin] SpawnsIndoors set to False
[16:04:28.6692897] [Debug  : LethalMin] SpawnsOutdoors set to True
[16:04:28.6692897] [Debug  : LethalMin] SpawnsAsSprout set to True
[16:04:28.6692897] [Debug  : LethalMin] UsesPikminContainer set to False
[16:04:28.6692897] [Debug  : LethalMin] SpawnAfterDay set to -1
[16:04:28.6702892] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[16:04:28.6702892] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[16:04:28.6702892] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[16:04:28.6702892] [Debug  : LethalMin] InstaEnterOnion set to False
[16:04:28.6702892] [Debug  : LethalMin] UsePresetFormatting set to True
[16:04:28.6702892] [Debug  : LethalMin] HelpfulLevel set to 45%
[16:04:28.6702892] [Debug  : LethalMin] ScientificName set to Pikminidae caerula
[16:04:28.6702892] [Debug  : LethalMin] piklopediaName set to 
[16:04:28.6713967] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[16:04:28.6713967] [Info   : LethalMin] Config file generated for Pikmin Type: Blue Pikmin at BepInEx/BepInEx\config\Pikmin\Blue Pikmin.cfg
[16:04:28.6733965] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Blue Pikmin"
[16:04:28.6753989] [Info   : LethalMin] Added event at time (4.59) for Pikmin_Stretch
[16:04:28.6753989] [Info   : LethalMin] Added event at time (3.956667) for Pikmin_Yawn
[16:04:28.6753989] [Message: LethalMin] Registered Pikmin Type: Blue Pikmin with ID: 0
[16:04:28.6753989] [Message: LethalMin] Registering Pikmin Type: Bulbmin
[16:04:28.6753989] [Info   : LethalMin] Generating config file for Pikmin Type: Bulbmin
[16:04:28.6809026] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.906, 0.608, 0.365, 1.000)
[16:04:28.6819085] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.224, 0.000, 1.000)
[16:04:28.6819085] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[16:04:28.6819085] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[16:04:28.6819085] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[16:04:28.6819085] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.50)
[16:04:28.6819085] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, -0.25)
[16:04:28.6819085] [Debug  : LethalMin] SetGhostColor set to False
[16:04:28.6819085] [Debug  : LethalMin] DisableRegistration set to False
[16:04:28.6819085] [Debug  : LethalMin] SetColorOnSprout set to True
[16:04:28.6819085] [Debug  : LethalMin] UseOverrideSproutGlowColor set to True
[16:04:28.6829083] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(0.220, 1.000, 0.000, 1.000)
[16:04:28.6829083] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[16:04:28.6829083] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[16:04:28.6829083] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[16:04:28.6829083] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[16:04:28.6839066] [Debug  : LethalMin] DefaultSpeed set to 1
[16:04:28.6839066] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[16:04:28.6839066] [Debug  : LethalMin] CarryStrength set to 3
[16:04:28.6839066] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[16:04:28.6844111] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[16:04:28.6844111] [Debug  : LethalMin] ItemDetectionRange set to 5
[16:04:28.6844111] [Debug  : LethalMin] CanLatchOnToObjects set to True
[16:04:28.6844111] [Debug  : LethalMin] CanJumpOntoObjects set to True
[16:04:28.6844111] [Debug  : LethalMin] CanCarryObjects set to True
[16:04:28.6844111] [Debug  : LethalMin] AttackStrength set to 1
[16:04:28.6844111] [Debug  : LethalMin] AttackRate set to 0.5
[16:04:28.6844111] [Debug  : LethalMin] AttackDistance set to 0.5
[16:04:28.6844111] [Debug  : LethalMin] JumpLatchOnRange set to 5
[16:04:28.6854163] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[16:04:28.6854163] [Debug  : LethalMin] DeathDamageRange set to 0
[16:04:28.6854163] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[16:04:28.6854163] [Debug  : LethalMin] ShakeEndurance set to 0.75
[16:04:28.6854163] [Debug  : LethalMin] SpawnsIndoors set to True
[16:04:28.6854163] [Debug  : LethalMin] SpawnsOutdoors set to False
[16:04:28.6854163] [Debug  : LethalMin] SpawnsAsSprout set to False
[16:04:28.6854163] [Debug  : LethalMin] UsesPikminContainer set to False
[16:04:28.6854163] [Debug  : LethalMin] SpawnAfterDay set to -1
[16:04:28.6864146] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[16:04:28.6864146] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[16:04:28.6864146] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[16:04:28.6864146] [Debug  : LethalMin] InstaEnterOnion set to False
[16:04:28.6864146] [Debug  : LethalMin] UsePresetFormatting set to True
[16:04:28.6864146] [Debug  : LethalMin] HelpfulLevel set to 60%
[16:04:28.6864146] [Debug  : LethalMin] ScientificName set to Parasiticus pikminicus
[16:04:28.6864146] [Debug  : LethalMin] piklopediaName set to 
[16:04:28.6874160] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[16:04:28.6874160] [Info   : LethalMin] Config file generated for Pikmin Type: Bulbmin at BepInEx/BepInEx\config\Pikmin\Bulbmin.cfg
[16:04:28.6884158] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Bulbmin"
[16:04:28.6884158] [Message: LethalMin] Registered Pikmin Type: Bulbmin with ID: 1
[16:04:28.6884158] [Message: LethalMin] Registering Pikmin Type: Glow Pikmin
[16:04:28.6884158] [Info   : LethalMin] Generating config file for Pikmin Type: Glow Pikmin
[16:04:28.6959288] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 1.000, 0.008, 1.000)
[16:04:28.6969309] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.102, 0.565, 0.035, 1.000)
[16:04:28.6969309] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[16:04:28.6969309] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[16:04:28.6969309] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[16:04:28.6969309] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[16:04:28.6969309] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[16:04:28.6969309] [Debug  : LethalMin] SetGhostColor set to True
[16:04:28.6969309] [Debug  : LethalMin] DisableRegistration set to False
[16:04:28.6969309] [Debug  : LethalMin] SetColorOnSprout set to True
[16:04:28.6979292] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[16:04:28.6979292] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[16:04:28.6979292] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[16:04:28.6979292] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[16:04:28.6979292] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[16:04:28.6979292] [Debug  : LethalMin] GrowSpeedMultiplier set to 5
[16:04:28.6979292] [Debug  : LethalMin] DefaultSpeed set to 1
[16:04:28.6979292] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[16:04:28.6989294] [Debug  : LethalMin] CarryStrength set to 3
[16:04:28.6989294] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[16:04:28.6989294] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[16:04:28.6989294] [Debug  : LethalMin] ItemDetectionRange set to 5
[16:04:28.6989294] [Debug  : LethalMin] CanLatchOnToObjects set to True
[16:04:28.6989294] [Debug  : LethalMin] CanJumpOntoObjects set to True
[16:04:28.6989294] [Debug  : LethalMin] CanCarryObjects set to True
[16:04:28.7004334] [Debug  : LethalMin] AttackStrength set to 1
[16:04:28.7004334] [Debug  : LethalMin] AttackRate set to 0.5
[16:04:28.7004334] [Debug  : LethalMin] AttackDistance set to 0.5
[16:04:28.7004334] [Debug  : LethalMin] JumpLatchOnRange set to 5
[16:04:28.7004334] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[16:04:28.7004334] [Debug  : LethalMin] DeathDamageRange set to 0
[16:04:28.7004334] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[16:04:28.7004334] [Debug  : LethalMin] ShakeEndurance set to 0.75
[16:04:28.7014382] [Debug  : LethalMin] SpawnsIndoors set to False
[16:04:28.7014382] [Debug  : LethalMin] SpawnsOutdoors set to False
