[20:10:07.1776954] [Info   : LethalMin] LethalMin: Registering Items
[20:10:07.1988886] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[20:10:07.2345411] [Info   : LethalMin] Registering 10 Pikmin Types
[20:10:07.2355467] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[20:10:07.2365508] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[20:10:07.2477904] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[20:10:07.2477904] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[20:10:07.2477904] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[20:10:07.2477904] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[20:10:07.2477904] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[20:10:07.2507965] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[20:10:07.2507965] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[20:10:07.2507965] [Debug  : LethalMin] SetGhostColor set to True
[20:10:07.2507965] [Debug  : LethalMin] DisableRegistration set to False
[20:10:07.2517898] [Debug  : LethalMin] SetColorOnSprout set to True
[20:10:07.2517898] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[20:10:07.2517898] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[20:10:07.2527955] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[20:10:07.2527955] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[20:10:07.2527955] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[20:10:07.2527955] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[20:10:07.2543005] [Debug  : LethalMin] DefaultSpeed set to 1
[20:10:07.2543005] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[20:10:07.2543005] [Debug  : LethalMin] CarryStrength set to 3
[20:10:07.2543005] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[20:10:07.2573082] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[20:10:07.2573082] [Debug  : LethalMin] ItemDetectionRange set to 5
[20:10:07.2573082] [Debug  : LethalMin] CanLatchOnToObjects set to True
[20:10:07.2573082] [Debug  : LethalMin] CanJumpOntoObjects set to True
[20:10:07.2573082] [Debug  : LethalMin] CanCarryObjects set to True
[20:10:07.2573082] [Debug  : LethalMin] AttackStrength set to 1
[20:10:07.2573082] [Debug  : LethalMin] AttackRate set to 0.5
[20:10:07.2583074] [Debug  : LethalMin] AttackDistance set to 0.5
[20:10:07.2583074] [Debug  : LethalMin] JumpLatchOnRange set to 5
[20:10:07.2583074] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[20:10:07.2583074] [Debug  : LethalMin] DeathDamageRange set to 0
[20:10:07.2583074] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[20:10:07.2583074] [Debug  : LethalMin] ShakeEndurance set to 0.75
[20:10:07.2583074] [Debug  : LethalMin] SpawnsIndoors set to False
[20:10:07.2593041] [Debug  : LethalMin] SpawnsOutdoors set to True
[20:10:07.2593041] [Debug  : LethalMin] SpawnsAsSprout set to True
[20:10:07.2593041] [Debug  : LethalMin] UsesPikminContainer set to False
[20:10:07.2593041] [Debug  : LethalMin] SpawnAfterDay set to -1
[20:10:07.2593041] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.2593041] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.2603083] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:10:07.2603083] [Debug  : LethalMin] InstaEnterOnion set to False
[20:10:07.2603083] [Debug  : LethalMin] UsePresetFormatting set to True
[20:10:07.2603083] [Debug  : LethalMin] HelpfulLevel set to 45%
[20:10:07.2603083] [Debug  : LethalMin] ScientificName set to Pikminidae caerula
[20:10:07.2603083] [Debug  : LethalMin] piklopediaName set to 
[20:10:07.2603083] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[20:10:07.2603083] [Info   : LethalMin] Config file generated for Pikmin Type: Blue Pikmin at BepInEx/BepInEx\config\Pikmin\Blue Pikmin.cfg
[20:10:07.2628108] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Blue Pikmin"
[20:10:07.2643240] [Info   : LethalMin] Added event at time (4.59) for Pikmin_Stretch
[20:10:07.2643240] [Info   : LethalMin] Added event at time (3.956667) for Pikmin_Yawn
[20:10:07.2653276] [Message: LethalMin] Registered Pikmin Type: Blue Pikmin with ID: 0
[20:10:07.2653276] [Message: LethalMin] Registering Pikmin Type: Bulbmin
[20:10:07.2653276] [Info   : LethalMin] Generating config file for Pikmin Type: Bulbmin
[20:10:07.2713280] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.906, 0.608, 0.365, 1.000)
[20:10:07.2713280] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.224, 0.000, 1.000)
[20:10:07.2713280] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[20:10:07.2713280] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[20:10:07.2713280] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[20:10:07.2713280] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.50)
[20:10:07.2713280] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, -0.25)
[20:10:07.2723291] [Debug  : LethalMin] SetGhostColor set to False
[20:10:07.2723291] [Debug  : LethalMin] DisableRegistration set to False
