[10:55:59.0971880] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Puffmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[10:55:59.0971880] [Info   : LethalMin] LethalMin: Registering Items
[10:55:59.1172105] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[10:55:59.1504027] [Info   : LethalMin] Registering 10 Pikmin Types
[10:55:59.1514072] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[10:55:59.1524117] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[10:55:59.1629256] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[10:55:59.1639256] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[10:55:59.1639256] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[10:55:59.1639256] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[10:55:59.1639256] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[10:55:59.1669259] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[10:55:59.1669259] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[10:55:59.1669259] [Debug  : LethalMin] SetGhostColor set to True
[10:55:59.1669259] [Debug  : LethalMin] DisableRegistration set to False
[10:55:59.1679234] [Debug  : LethalMin] SetColorOnSprout set to True
[10:55:59.1679234] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[10:55:59.1679234] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[10:55:59.1699233] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[10:55:59.1699233] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[10:55:59.1699233] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[10:55:59.1699233] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[10:55:59.1711218] [Debug  : LethalMin] DefaultSpeed set to 1
[10:55:59.1711218] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[10:55:59.1711218] [Debug  : LethalMin] CarryStrength set to 3
[10:55:59.1711218] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[10:55:59.1731221] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[10:55:59.1731221] [Debug  : LethalMin] ItemDetectionRange set to 5
[10:55:59.1741224] [Debug  : LethalMin] CanLatchOnToObjects set to True
[10:55:59.1741224] [Debug  : LethalMin] CanJumpOntoObjects set to True
[10:55:59.1741224] [Debug  : LethalMin] CanCarryObjects set to True
[10:55:59.1741224] [Debug  : LethalMin] AttackStrength set to 1
[10:55:59.1741224] [Debug  : LethalMin] AttackRate set to 0.5
[10:55:59.1741224] [Debug  : LethalMin] AttackDistance set to 0.5
[10:55:59.1741224] [Debug  : LethalMin] JumpLatchOnRange set to 5
[10:55:59.1741224] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[10:55:59.1751201] [Debug  : LethalMin] DeathDamageRange set to 0
[10:55:59.1751201] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[10:55:59.1751201] [Debug  : LethalMin] ShakeEndurance set to 0.75
[10:55:59.1751201] [Debug  : LethalMin] SpawnsIndoors set to False
[10:55:59.1751201] [Debug  : LethalMin] SpawnsOutdoors set to True
[10:55:59.1751201] [Debug  : LethalMin] SpawnsAsSprout set to True
[10:55:59.1761207] [Debug  : LethalMin] UsesPikminContainer set to False
[10:55:59.1761207] [Debug  : LethalMin] SpawnAfterDay set to -1
[10:55:59.1761207] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[10:55:59.1761207] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[10:55:59.1761207] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[10:55:59.1761207] [Debug  : LethalMin] InstaEnterOnion set to False
[10:55:59.1771192] [Debug  : LethalMin] UsePresetFormatting set to True
[10:55:59.1771192] [Debug  : LethalMin] HelpfulLevel set to 45%
[10:55:59.1771192] [Debug  : LethalMin] ScientificName set to Pikminidae caerula
[10:55:59.1771192] [Debug  : LethalMin] piklopediaName set to 
[10:55:59.1771192] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[10:55:59.1771192] [Info   : LethalMin] Config file generated for Pikmin Type: Blue Pikmin at BepInEx/BepInEx\config\Pikmin\Blue Pikmin.cfg
[10:55:59.1791204] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Blue Pikmin"
[10:55:59.1826332] [Info   : LethalMin] Added event at time (4.59) for Pikmin_Stretch
[10:55:59.1826332] [Info   : LethalMin] Added event at time (3.956667) for Pikmin_Yawn
[10:55:59.1826332] [Message: LethalMin] Registered Pikmin Type: Blue Pikmin with ID: 0
[10:55:59.1836359] [Message: LethalMin] Registering Pikmin Type: Bulbmin
[10:55:59.1836359] [Info   : LethalMin] Generating config file for Pikmin Type: Bulbmin
[10:55:59.1901366] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.906, 0.608, 0.365, 1.000)
[10:55:59.1901366] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.224, 0.000, 1.000)
[10:55:59.1901366] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
