[16:34:56.0126412] [Info   : Unity Log] Interact trigger destroying! name: InteractTrigger
[16:34:56.0196585] [Debug  :PizzaTowerEscapeMusic GameEventListener] Dungeon done generating
[16:34:56.0724866] [Info   : Unity Log] Interact trigger destroying! name: DropTrigger
[16:34:56.0724866] [Info   : Unity Log] Interact trigger destroying! name: LadderTrigger
[16:34:56.0724866] [Info   : Unity Log] Interact trigger destroying! name: LadderTrigger
[16:34:56.0724866] [Info   : Unity Log] Interact trigger destroying! name: LadderTrigger
[16:34:56.0724866] [Info   : Unity Log] Interact trigger destroying! name: LadderTrigger
[16:34:56.0995350] [Info   : Unity Log] Players finished generating the new floor
[16:34:56.4245315] [Info   : Unity Log] Spawning synced props on server. Length: 34
[16:34:56.4255321] [Debug  :ReXuvination] Optimised Collider layers in DoorLock for Object: Cube (UnityEngine.GameObject)
[16:34:56.4255321] [Debug  :ReXuvination] Optimised Collider layers in DoorLock for Object: Cube (UnityEngine.GameObject)
[16:34:56.4255321] [Debug  :ReXuvination] Optimised Collider layers in DoorLock for Object: Cube (UnityEngine.GameObject)
[16:34:56.4255321] [Debug  :ReXuvination] Optimised Collider layers in DoorLock for Object: Cube (UnityEngine.GameObject)
[16:34:56.4255321] [Debug  :ReXuvination] Optimised Collider layers in DoorLock for Object: Cube (UnityEngine.GameObject)
[16:34:56.4270355] [Debug  :ReXuvination] Optimised Collider layers in DoorLock for Object: Cube (UnityEngine.GameObject)
[16:34:56.4270355] [Debug  :ReXuvination] Optimised Collider layers in DoorLock for Object: Cube (UnityEngine.GameObject)
[16:34:56.4270355] [Debug  :ReXuvination] Optimised Collider layers in DoorLock for Object: Cube (UnityEngine.GameObject)
[16:34:56.4275390] [Info   : LethalMin] Created Item Arrival Zone of type Exit on object EntranceTeleportB(Clone)
[16:34:56.4300477] [Debug  :ReXuvination] Optimised Collider layers in DoorLock for Object: Cube (UnityEngine.GameObject)
[16:34:56.4300477] [Info   : LethalMin] Created Item Arrival Zone of type Exit on object EntranceTeleportA
[16:34:56.4310539] [Debug  :ReXuvination] Optimised Collider layers in DoorLock for Object: Cube (UnityEngine.GameObject)
[16:34:56.4330529] [Info   : Unity Log] clientRPC scrap values length: 0
[16:34:56.5891452] [Info   :KawaiiBone.Remnants] Patching remnant items spawns.
[16:34:56.5931458] [Info   : Unity Log] Number of scrap to spawn: 18. minTotalScrapValue: 100. Total value of items: 0.
[16:34:56.6214561] [Info   : Unity Log] No tiles containing a scrap spawn with item type: Plastic cup
[16:34:56.6440849] [Info   :KawaiiBone.Remnants] Patching remnant items.
[16:34:56.6465918] [Info   :KawaiiBone.Remnants] Randomizing items batteries.
[16:34:56.6465918] [Info   :KawaiiBone.Remnants] Spawning bodies.
[16:34:56.6465918] [Warning:KawaiiBone.Remnants] List to spawn bodies on, is null or is empty!
[16:34:56.6465918] [Info   :KawaiiBone.Remnants] Patching spawn remnant items.
[16:34:56.6511467] [Info   :KawaiiBone.Remnants] Patching end of Spawn Scrap.
[16:34:56.6521503] [Info   : LethalMin] Spawing Onion items
[16:34:56.7117809] [Debug  :ainavt.lc.lethalconfig] Registered config "Matty's Fixes/Unknown/Medic Bag"
[16:34:56.7609580] [Info   : Unity Log] Anomaly random yrotation farthest: 168
[16:34:56.7629603] [Info   : Unity Log] Anomaly random yrotation farthest: 9
[16:34:56.7854821] [Info   :LethalFixes] Cached 1 Outside Map Objects
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: EntranceTeleportB(Clone) (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Door Interact (2) (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Door Interact (4) (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Door Interact (3) (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Door Interact (4) (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Door Interact (1) (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: EntranceTeleportA (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Cube (UnityEngine.GameObject)
[16:34:56.7929149] [Debug  :ReXuvination] Optimised Collider layers in InteractTrigger for Object: Interract thigny (UnityEngine.GameObject)
