[16:41:25.0448594] [Info   : LethalMin] LethalMin: Registering Items
[16:41:25.0659074] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[16:41:25.1015589] [Info   : LethalMin] Registering 10 Pikmin Types
[16:41:25.1025612] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[16:41:25.1035608] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[16:41:25.1157336] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[16:41:25.1157336] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[16:41:25.1157336] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[16:41:25.1157336] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[16:41:25.1167338] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[16:41:25.1187336] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[16:41:25.1187336] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[16:41:25.1197864] [Debug  : LethalMin] SetGhostColor set to True
[16:41:25.1197864] [Debug  : LethalMin] DisableRegistration set to False
[16:41:25.1197864] [Debug  : LethalMin] SetColorOnSprout set to True
[16:41:25.1197864] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[16:41:25.1207924] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[16:41:25.1217972] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[16:41:25.1217972] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[16:41:25.1217972] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[16:41:25.1227964] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[16:41:25.1227964] [Debug  : LethalMin] DefaultSpeed set to 1
[16:41:25.1227964] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[16:41:25.1227964] [Debug  : LethalMin] CarryStrength set to 3
[16:41:25.1237971] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[16:41:25.1247966] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[16:41:25.1257970] [Debug  : LethalMin] ItemDetectionRange set to 5
[16:41:25.1257970] [Debug  : LethalMin] CanLatchOnToObjects set to True
[16:41:25.1257970] [Debug  : LethalMin] CanJumpOntoObjects set to True
[16:41:25.1257970] [Debug  : LethalMin] CanCarryObjects set to True
[16:41:25.1257970] [Debug  : LethalMin] AttackStrength set to 1
[16:41:25.1257970] [Debug  : LethalMin] AttackRate set to 0.5
[16:41:25.1257970] [Debug  : LethalMin] AttackDistance set to 0.5
[16:41:25.1257970] [Debug  : LethalMin] JumpLatchOnRange set to 5
[16:41:25.1267968] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[16:41:25.1267968] [Debug  : LethalMin] DeathDamageRange set to 0
[16:41:25.1267968] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[16:41:25.1267968] [Debug  : LethalMin] ShakeEndurance set to 0.75
[16:41:25.1267968] [Debug  : LethalMin] SpawnsIndoors set to False
[16:41:25.1267968] [Debug  : LethalMin] SpawnsOutdoors set to True
[16:41:25.1267968] [Debug  : LethalMin] SpawnsAsSprout set to True
[16:41:25.1277960] [Debug  : LethalMin] UsesPikminContainer set to False
[16:41:25.1277960] [Debug  : LethalMin] SpawnAfterDay set to -1
[16:41:25.1277960] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[16:41:25.1277960] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[16:41:25.1277960] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[16:41:25.1277960] [Debug  : LethalMin] InstaEnterOnion set to False
[16:41:25.1277960] [Debug  : LethalMin] UsePresetFormatting set to True
[16:41:25.1287967] [Debug  : LethalMin] HelpfulLevel set to 45%
[16:41:25.1287967] [Debug  : LethalMin] ScientificName set to Pikminidae caerula
[16:41:25.1287967] [Debug  : LethalMin] piklopediaName set to 
[16:41:25.1287967] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[16:41:25.1287967] [Info   : LethalMin] Config file generated for Pikmin Type: Blue Pikmin at BepInEx/BepInEx\config\Pikmin\Blue Pikmin.cfg
[16:41:25.1303002] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Blue Pikmin"
