[20:38:37.1407884] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Wild Spawn Falloff Exponent"
[20:38:37.1422912] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/No-Onion Group Spawn Threshold"
[20:38:37.1428002] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Scale Wild Spawn Amount By Suppressed Types"
[20:38:37.1448069] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Suppressed Type Falloff Threshold"
[20:38:37.1458054] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Outdoor Spawn Amount Scale At Max Suppressed Types"
[20:38:37.1468054] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Indoor Spawn Amount Scale At Max Suppressed Types"
[20:38:37.1488718] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Randomize By Day"
[20:38:37.1513795] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Attack Blacklist"
[20:38:37.1544039] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Item Blacklist"
[20:38:37.1554055] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Enemy Body Convert Blacklist"
[20:38:37.1564050] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Use Exits When Carrying Items"
[20:38:37.1614083] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Follow Mode"
[20:38:37.1624056] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Dont collide with other pikmin in elevators"
[20:38:37.1634203] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Time Falling Fail Safe"
[20:38:37.1654202] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Carry Non-Scrap Items To Company"
[20:38:37.1664206] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Ignore Non-Scrap Items On Company"
[20:38:37.1674218] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Take Items To Onion On Company"
[20:38:37.1695028] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Take Items To The Car"
[20:38:37.1695028] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Take Items To The Onion"
[20:38:37.1710079] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Disperse When Dismissed"
[20:38:37.1725187] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Allow On BoomBox to be Grabbed"
[20:38:37.1745263] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Dismiss Windown Time"
[20:38:37.1755266] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Non-Water Resistant Pikmin Avoid Water"
[20:38:37.1765260] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Can Carry Items"
[20:38:37.1775269] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Can Attack Enemies"
[20:38:37.1795274] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Attack Does Damage"
[20:38:37.1806740] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Dont Die"
[20:38:37.1826724] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Use Enemy Configs"
[20:38:37.1841783] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Barber Snip Cooldown"
[20:38:37.1851857] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Barber Snip Limit"
[20:38:37.1861825] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Thumper Bite Cooldown"
[20:38:37.1881827] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Thumper Bite Limit"
[20:38:37.1892569] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Bunker Spider Bite Cooldown"
[20:38:37.1902568] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Bunker Spider Bite Limit"
[20:38:37.1912567] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hoarding Bug Bite Cooldown"
[20:38:37.1927628] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hoarding Bug Bite Limit"
[20:38:37.1937675] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hoarding Bug Aggro When Item Taken"
[20:38:37.1957675] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Eyeless Dog Bite Cooldown"
[20:38:37.1967673] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Eyeless Dog Bite Limit"
[20:38:37.1987673] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hydrogere Traps Pikmin"
[20:38:37.1997673] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hydrogere Kills Pikmin"
[20:38:37.2007674] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Zap Cooldown"
[20:38:37.2022702] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Zap Pikmin"
[20:38:37.2032746] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Kill Pikmin"
[20:38:37.2042743] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Bite Cooldown"
[20:38:37.2063721] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Bite Limit"
[20:38:37.2073720] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Allow Carry"
[20:38:37.2083722] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Attack As Baby"
[20:38:37.2093724] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grab Limit"
[20:38:37.2113737] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grabs Pikmin"
[20:38:37.2128786] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Forest Keeper Grab Limit"
