[17:07:55.5915069] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Use LC Spawn System"
[17:07:55.5925067] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Use Power Level For Sprouts"
[17:07:55.5940129] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Enable Wild Spawn Falloff"
[17:07:55.5950161] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Wild Spawn Falloff Max Count"
[17:07:55.5970162] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Wild Spawn Falloff Exponent"
[17:07:55.5980172] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/No-Onion Group Spawn Threshold"
[17:07:55.5990163] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Scale Wild Spawn Amount By Suppressed Types"
[17:07:55.6010159] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Suppressed Type Falloff Threshold"
[17:07:55.6010159] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Outdoor Spawn Amount Scale At Max Suppressed Types"
[17:07:55.6035218] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Indoor Spawn Amount Scale At Max Suppressed Types"
[17:07:55.6045223] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Randomize By Day"
[17:07:55.6075270] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Attack Blacklist"
[17:07:55.6105268] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Item Blacklist"
[17:07:55.6115260] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Enemy Body Convert Blacklist"
[17:07:55.6130285] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Use Exits When Carrying Items"
[17:07:55.6175391] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Follow Mode"
[17:07:55.6185387] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Dont collide with other pikmin in elevators"
[17:07:55.6205375] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Time Falling Fail Safe"
[17:07:55.6215375] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Carry Non-Scrap Items To Company"
[17:07:55.6230404] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Ignore Non-Scrap Items On Company"
[17:07:55.6240439] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Take Items To Onion On Company"
[17:07:55.6260490] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Take Items To The Car"
[17:07:55.6270495] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Take Items To The Onion"
[17:07:55.6280478] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Disperse When Dismissed"
[17:07:55.6300483] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Allow On BoomBox to be Grabbed"
[17:07:55.6310489] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Dismiss Windown Time"
[17:07:55.6325542] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Non-Water Resistant Pikmin Avoid Water"
[17:07:55.6335603] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Can Carry Items"
[17:07:55.6345587] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Can Attack Enemies"
[17:07:55.6355605] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Attack Does Damage"
[17:07:55.6375594] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Dont Die"
[17:07:55.6385591] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Use Enemy Configs"
[17:07:55.6395603] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Barber Snip Cooldown"
[17:07:55.6415580] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Barber Snip Limit"
[17:07:55.6430625] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Thumper Bite Cooldown"
[17:07:55.6440662] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Thumper Bite Limit"
[17:07:55.6450695] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Bunker Spider Bite Cooldown"
[17:07:55.6460697] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Bunker Spider Bite Limit"
[17:07:55.6480692] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hoarding Bug Bite Cooldown"
[17:07:55.6490693] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hoarding Bug Bite Limit"
[17:07:55.6500694] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hoarding Bug Aggro When Item Taken"
[17:07:55.6510692] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Eyeless Dog Bite Cooldown"
[17:07:55.6525721] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Eyeless Dog Bite Limit"
[17:07:55.6545759] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hydrogere Traps Pikmin"
[17:07:55.6555790] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hydrogere Kills Pikmin"
[17:07:55.6565791] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Zap Cooldown"
[17:07:55.6585799] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Zap Pikmin"
[17:07:55.6595793] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Kill Pikmin"
[17:07:55.6605788] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Bite Cooldown"
[17:07:55.6625788] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Bite Limit"
[17:07:55.6630817] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Allow Carry"
