[08:38:13.3871496] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Controls/Onion Menu 10-withdraw Button"
[08:38:13.3881499] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Indoor Pikmin Spawn Chance"
[08:38:13.3891492] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Outdoor Pikmin Spawn Chance"
[08:38:13.3901498] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Onion Spawn Chance"
[08:38:13.3921500] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Use Beta Onion Spawn System"
[08:38:13.3931546] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Avoid Water For Onion Spawning"
[08:38:13.3941706] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Avoid Behind-Ship Locations For Onion Spawning"
[08:38:13.3951710] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Use LC Spawn System"
[08:38:13.3971719] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Use Power Level For Sprouts"
[08:38:13.3981701] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Enable Wild Spawn Falloff"
[08:38:13.3991724] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Wild Spawn Falloff Max Count"
[08:38:13.4011710] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Wild Spawn Falloff Exponent"
[08:38:13.4021706] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/No-Onion Group Spawn Threshold"
[08:38:13.4036755] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Scale Wild Spawn Amount By Suppressed Types"
[08:38:13.4046803] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Suppressed Type Falloff Threshold"
[08:38:13.4056846] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Outdoor Spawn Amount Scale At Max Suppressed Types"
[08:38:13.4076841] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Indoor Spawn Amount Scale At Max Suppressed Types"
[08:38:13.4086839] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Randomize By Day"
[08:38:13.4116846] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Attack Blacklist"
[08:38:13.4141975] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Item Blacklist"
[08:38:13.4151971] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Enemy Body Convert Blacklist"
[08:38:13.4171963] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Use Exits When Carrying Items"
