[10:21:31.1911111] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Use LC Spawn System"
[10:21:31.1921125] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Use Power Level For Sprouts"
[10:21:31.1931130] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Enable Wild Spawn Falloff"
[10:21:31.1951134] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Wild Spawn Falloff Max Count"
[10:21:31.1961117] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Wild Spawn Falloff Exponent"
[10:21:31.1981119] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/No-Onion Group Spawn Threshold"
[10:21:31.1991109] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Scale Wild Spawn Amount By Suppressed Types"
[10:21:31.2001136] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Suppressed Type Falloff Threshold"
[10:21:31.2021681] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Outdoor Spawn Amount Scale At Max Suppressed Types"
[10:21:31.2031670] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Indoor Spawn Amount Scale At Max Suppressed Types"
[10:21:31.2041676] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Randomize By Day"
[10:21:31.2071721] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Attack Blacklist"
[10:21:31.2091688] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Item Blacklist"
[10:21:31.2112259] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Enemy Body Convert Blacklist"
[10:21:31.2122253] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Use Exits When Carrying Items"
[10:21:31.2172251] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Follow Mode"
[10:21:31.2192246] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Dont collide with other pikmin in elevators"
[10:21:31.2202246] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Time Falling Fail Safe"
[10:21:31.2214173] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Carry Non-Scrap Items To Company"
[10:21:31.2224164] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Ignore Non-Scrap Items On Company"
[10:21:31.2237006] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Take Items To Onion On Company"
[10:21:31.2256993] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Take Items To The Car"
[10:21:31.2267008] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Take Items To The Onion"
[10:21:31.2277000] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Disperse When Dismissed"
[10:21:31.2286991] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Allow On BoomBox to be Grabbed"
[10:21:31.2312077] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Dismiss Windown Time"
[10:21:31.2322073] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Non-Water Resistant Pikmin Avoid Water"
[10:21:31.2332080] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Can Carry Items"
[10:21:31.2352076] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Can Attack Enemies"
[10:21:31.2362092] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Attack Does Damage"
[10:21:31.2382070] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Wild Pikmin Dont Die"
[10:21:31.2392089] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Use Enemy Configs"
[10:21:31.2412332] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Barber Snip Cooldown"
[10:21:31.2422335] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Barber Snip Limit"
[10:21:31.2434804] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Thumper Bite Cooldown"
[10:21:31.2454800] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Thumper Bite Limit"
[10:21:31.2474814] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Bunker Spider Bite Cooldown"
[10:21:31.2484801] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Bunker Spider Bite Limit"
[10:21:31.2499832] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hoarding Bug Bite Cooldown"
[10:21:31.2519872] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hoarding Bug Bite Limit"
[10:21:31.2529894] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hoarding Bug Aggro When Item Taken"
[10:21:31.2539889] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Eyeless Dog Bite Cooldown"
[10:21:31.2559882] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Eyeless Dog Bite Limit"
[10:21:31.2569885] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hydrogere Traps Pikmin"
[10:21:31.2579890] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Hydrogere Kills Pikmin"
[10:21:31.2599867] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Zap Cooldown"
[10:21:31.2614924] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Zap Pikmin"
[10:21:31.2624938] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Circuit Bees Kill Pikmin"
[10:21:31.2634947] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Bite Cooldown"
[10:21:31.2649981] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Bite Limit"
[10:21:31.2670029] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Allow Carry"
[10:21:31.2680031] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Maneater Attack As Baby"
[10:21:31.2690028] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grab Limit"
[10:21:31.2700047] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Old Bird Grabs Pikmin"
[10:21:31.2711167] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Forest Keeper Grab Limit"
[10:21:31.2736267] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Forest Keeper Grabs Pikmin"
[10:21:31.2746257] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Jester Bite Cooldown"
[10:21:31.2756261] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Jester Bite Limit"
[10:21:31.2776261] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Butler Stab Cooldown"
[10:21:31.2786259] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Butler Stab Limit"
[10:21:31.2801298] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Baboon Hawk Bite Cooldown"
[10:21:31.2811351] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Feiopar Scratches Pikmin"
[10:21:31.2831345] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Masked Player Enemy Convert Pikmin"
[10:21:31.2841341] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Puffer Can Poison Pikmin"
[10:21:31.2851359] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Company Grabs Pikmin"
[10:21:31.2871344] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Company Hears Pikmin"
[10:21:31.2881349] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Carriers Trigger Spit"
[10:21:31.2891348] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Spit Trigger Carry Strength"
[10:21:31.2901361] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Enemy Behavior/Backwater Gunkfish Slime Makes Pikmin Slip"
[10:21:31.2924657] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Puffmin Behavior/Turn To Normal On Death"
[10:21:31.2974703] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/HUD Layout Preset"
[10:21:31.2984700] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Position"
[10:21:31.3009773] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Rotation"
[10:21:31.3019790] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Scale"
[10:21:31.3029801] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Selection Alpha"
[10:21:31.3049780] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Current Slot"
[10:21:31.3059776] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Next Slot"
[10:21:31.3069776] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Previous Slot"
[10:21:31.3089790] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Carousel Effect"
[10:21:31.3099774] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Position"
[10:21:31.3110356] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Rotation"
[10:21:31.3130372] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Scale"
[10:21:31.3140359] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Alpha Active"
[10:21:31.3160354] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Pikmin Counter Alpha Idle"
[10:21:31.3170353] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Existence Counter"
[10:21:31.3180358] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Squad Counter"
[10:21:31.3200353] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Enable Pikmin In Field Counter"
[10:21:31.3211885] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Hide Selected When Scan Notification"
[10:21:31.3226928] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Dont Update Hud Configs"
[10:21:31.3246999] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/HUD/Grayout Buttons In Onion HUD"
[10:21:31.3256978] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Whistle Price"
[10:21:31.3266991] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Ship Onion Price"
[10:21:31.3286980] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Tricknoll Price"
[10:21:31.3286980] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/PluckaPhone Price"
[10:21:31.3312081] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Ship Whistle Price"
[10:21:31.3322138] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Items/Is Whistle Conductive"
[10:21:31.3332115] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Activate Time"
[10:21:31.3352127] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Activate Distance"
[10:21:31.3362127] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Spawn Chance"
[10:21:31.3372131] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Spawn After Days"
[10:21:31.3392131] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Odds To Turn Into Seed"
[10:21:31.3402126] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Glow Pikmin/Useable At Company"
[10:21:31.3431214] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LethalMon/Attack Own Tamed Enemies"
[10:21:31.3441191] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LethalMon/Attack Others Tamed Enemies"
[10:21:31.3461199] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LC-Office/Allow Metal Detector To Zap"
[10:21:31.3471203] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Add NavLink to the ship on Zeranos"
[10:21:31.3491205] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Block Enemies From Entering Zeranos Ship"
[10:21:31.3501222] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Zeranos/Add NavLink to the Elevator on Zeranos"
[10:21:31.3511767] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/ACU Targets Winged Pikmin"
[10:21:31.3531763] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/ACU Bullet Knockbacks Pikmin"
[10:21:31.3541788] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Crane Targets Pikmin"
[10:21:31.3561768] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Crane Squishes Pikmin"
[10:21:31.3571769] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Fan Knockbacks Pikmin"
[10:21:31.3591770] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Fan Knockback Strength Threshold"
[10:21:31.3601769] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Microwave Knockbacks Pikmin"
[10:21:31.3612729] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Flash Turret Knockbacks Pikmin"
[10:21:31.3632782] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Laser Turret Kills Pikmin"
[10:21:31.3642761] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Tornado Pulls Pikmin"
[10:21:31.3652771] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Tornado Pull Strength Threshold"
[10:21:31.3666759] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Compactor Squishes Pikmin"
[10:21:31.3686770] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/CodeRebirth/Go to the shredder before compactor"
[10:21:31.3701811] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Auto Set Hud Preset"
[10:21:31.3711867] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Dont Use Input Utils For VR"
[10:21:31.3731859] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Sprout Interaction"
[10:21:31.3742219] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Whistle Fix"
[10:21:31.3752215] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Onion HUD Z Distance"
[10:21:31.3772233] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Throw Button"
[10:21:31.3782221] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Secondary Throw Button"
[10:21:31.3792214] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Forward Button"
[10:21:31.3813679] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Backwards Button"
[10:21:31.3823683] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Whistle Button"
[10:21:31.3833690] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Use Mouth to Dismiss"
[10:21:31.3853679] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Dismiss Button"
[10:21:31.3863683] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Switch Whistle Sound Button"
[10:21:31.3883680] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Charge Button"
[10:21:31.3893677] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Secondary Charge Button"
[10:21:31.3903704] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Disable Charge Motion Blur"
[10:21:31.3924194] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Glowmob Button (hold)"
[10:21:31.3934192] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Glowmob Delay"
[10:21:31.3944186] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/LCVR/Throw Cancel Button"
[10:21:31.3964192] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Dont Do Audible Noise Calculations For Pikmin"
[10:21:31.3974192] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Dont Resimulate Oracle On Pikmin Death"
[10:21:31.3994192] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Imperium/Remove Puffmin From Spawn Search"
[10:21:31.4004199] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/WiderShipMod/Make Custom Bounds For Wide Ship"
[10:21:31.4016096] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Base Pick Chance"
[10:21:31.4036091] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Pick Chance Minimum"
[10:21:31.4046082] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Pick Chance Curve Base"
[10:21:31.4056095] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Mimics/Alert Blacklist Range"
[10:21:31.4076089] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Enable Interaction"
[10:21:31.4086099] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Kill Everything"
[10:21:31.4101150] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Attack Chance"
[10:21:31.4111215] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Pikmin Friendly Despawn"
[10:21:31.4121195] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Carry Weight"
[10:21:31.4141199] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Navmesh Check Blacklist"
[10:21:31.4151205] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Check Navmesh"
[10:21:31.4171198] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Pikmin Configs"
[10:21:31.4181207] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Use ModDataLib"
[10:21:31.4191199] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Clean Moon Names"
[10:21:31.4211551] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Moon Spawn Configs"
[10:21:31.4221549] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Weather Spawn Configs"
[10:21:31.4236584] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Use Beta Item Weight Calculation"
[10:21:31.4246635] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Whistle Makes Noise At Noice Zone"
[10:21:31.4256636] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Dont Make Audible Noises"
[10:21:31.4276631] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Signal Cooldown"
[10:21:31.4286637] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/No Knock Back"
[10:21:31.4301670] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Invinceable Pikmin"
[10:21:31.4321727] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Useless Blues Mode"
[10:21:31.4321727] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Max Whistle Zone Radius"
[10:21:31.4346818] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Max Whistle Zone Distance"
[10:21:31.4366820] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Player Notice Zone Size"
[10:21:31.4376827] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Damage Multiplier"
[10:21:31.4386843] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Speed Multiplier"
[10:21:31.4401893] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Charge Distance"
[10:21:31.4421949] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Charge Cooldown"
[10:21:31.4433564] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Dont Remove Save After Fire"
[10:21:31.4443566] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Yeet After Latch On"
[10:21:31.4463593] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Randomize Generation Models"
[10:21:31.4473580] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Add Collision To Ghost Sprites"
[10:21:31.4483584] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Funi Onion"
[10:21:31.4503562] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Giant Whistle With Pikmin Signal"
[10:21:31.4518637] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Ragdoll On Knockback"
[10:21:31.4528627] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Funi/Ragdoll On Death"
[10:21:31.4528627] [Info   : LethalMin] LethalMin: Patching Config Patches
[10:21:31.4538655] [Debug  : LethalMin] Patching config-conditional patches...
[10:21:31.4538655] [Debug  : LethalMin] Skipping config patch LethalMin.ConfigPatches.DontTouchMeUpdateTranspiler: Kittenji.DontTouchMe not loaded
[10:21:31.4538655] [Debug  : LethalMin] Patched config patch: LethalMin.ConfigPatches.DontTouchMeUpdateTranspiler+<UpdateTranspiler>d__0
[10:21:31.4568632] [Info   : LethalMin] ShotgunItemPatch: Increased enemyColliders array size from 10 to 127
[10:21:31.4603668] [Debug  : LethalMin] Patched config patch: LethalMin.ConfigPatches.ShotgunItemPatch
[10:21:31.4603668] [Debug  : LethalMin] Finished patching config-conditional patches!
[10:21:31.4603668] [Info   : LethalMin] LethalMin: Loading AssetBundle
[10:21:34.2691615] [Info   : LethalMin] LethalMin: Loading Miscellaneous Assets
[10:21:34.3737499] [Info   : LethalMin] LethalMin: Registering Pikmin As Enemies
[10:21:34.3767473] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Pikmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[10:21:34.3872601] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Puffmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[10:21:34.3872601] [Info   : LethalMin] LethalMin: Registering Items
[10:21:34.4093808] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[10:21:34.4441997] [Info   : LethalMin] Registering 10 Pikmin Types
[10:21:34.4452723] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[10:21:34.4462697] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[10:21:34.4532901] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[10:21:34.4542916] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[10:21:34.4542916] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[10:21:34.4542916] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[10:21:34.4542916] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[10:21:34.4562923] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[10:21:34.4572911] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[10:21:34.4572911] [Debug  : LethalMin] SetGhostColor set to True
[10:21:34.4572911] [Debug  : LethalMin] DisableRegistration set to False
[10:21:34.4572911] [Debug  : LethalMin] SetColorOnSprout set to True
[10:21:34.4572911] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[10:21:34.4582877] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[10:21:34.4592919] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[10:21:34.4592919] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[10:21:34.4592919] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[10:21:34.4602892] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[10:21:34.4602892] [Debug  : LethalMin] DefaultSpeed set to 1
[10:21:34.4602892] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[10:21:34.4602892] [Debug  : LethalMin] CarryStrength set to 3
[10:21:34.4613683] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[10:21:34.4613683] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[10:21:34.4623689] [Debug  : LethalMin] ItemDetectionRange set to 5
[10:21:34.4623689] [Debug  : LethalMin] CanLatchOnToObjects set to True
[10:21:34.4623689] [Debug  : LethalMin] CanJumpOntoObjects set to True
[10:21:34.4623689] [Debug  : LethalMin] CanCarryObjects set to True
[10:21:34.4623689] [Debug  : LethalMin] AttackStrength set to 1
[10:21:34.4623689] [Debug  : LethalMin] AttackRate set to 0.5
[10:21:34.4623689] [Debug  : LethalMin] AttackDistance set to 0.5
[10:21:34.4633655] [Debug  : LethalMin] JumpLatchOnRange set to 5
[10:21:34.4633655] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[10:21:34.4633655] [Debug  : LethalMin] DeathDamageRange set to 0
[10:21:34.4633655] [Debug  : LethalMin] DamageDeltUpLanding set to 0
