[17:21:05.1954989] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Wild Spawn Falloff Max Count"
[17:21:05.1970026] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Wild Spawn Falloff Exponent"
[17:21:05.1985098] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/No-Onion Group Spawn Threshold"
[17:21:05.1995165] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Scale Wild Spawn Amount By Suppressed Types"
[17:21:05.2015152] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Suppressed Type Falloff Threshold"
[17:21:05.2025173] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Outdoor Spawn Amount Scale At Max Suppressed Types"
[17:21:05.2035153] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Indoor Spawn Amount Scale At Max Suppressed Types"
[17:21:05.2045165] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Randomize By Day"
[17:21:05.2080281] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Attack Blacklist"
[17:21:05.2100285] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Item Blacklist"
[17:21:05.2110315] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Enemy Body Convert Blacklist"
[17:21:05.2130288] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Use Exits When Carrying Items"
[17:21:05.2170293] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Follow Mode"
[17:21:05.2190789] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Dont collide with other pikmin in elevators"
[17:21:05.2200773] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Time Falling Fail Safe"
[17:21:05.2210796] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin Behavior/Carry Non-Scrap Items To Company"
