[08:09:05.2340664] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Puffmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[08:09:05.2340664] [Info   : LethalMin] LethalMin: Registering Items
[08:09:05.2555978] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[08:09:05.2969982] [Info   : LethalMin] Registering 10 Pikmin Types
[08:09:05.2980067] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[08:09:05.2990052] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[08:09:05.3110203] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[08:09:05.3121253] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[08:09:05.3121253] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[08:09:05.3121253] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[08:09:05.3121253] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[08:09:05.3141257] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[08:09:05.3141257] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[08:09:05.3151254] [Debug  : LethalMin] SetGhostColor set to True
[08:09:05.3151254] [Debug  : LethalMin] DisableRegistration set to False
[08:09:05.3151254] [Debug  : LethalMin] SetColorOnSprout set to True
[08:09:05.3151254] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[08:09:05.3151254] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[08:09:05.3161236] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[08:09:05.3171266] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[08:09:05.3171266] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[08:09:05.3171266] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[08:09:05.3181990] [Debug  : LethalMin] DefaultSpeed set to 1
[08:09:05.3181990] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[08:09:05.3181990] [Debug  : LethalMin] CarryStrength set to 4
[08:09:05.3181990] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[08:09:05.3202016] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[08:09:05.3202016] [Debug  : LethalMin] ItemDetectionRange set to 5
[08:09:05.3202016] [Debug  : LethalMin] CanLatchOnToObjects set to True
[08:09:05.3211985] [Debug  : LethalMin] CanJumpOntoObjects set to True
[08:09:05.3211985] [Debug  : LethalMin] CanCarryObjects set to True
[08:09:05.3211985] [Debug  : LethalMin] AttackStrength set to 1
[08:09:05.3211985] [Debug  : LethalMin] AttackRate set to 0.5
[08:09:05.3211985] [Debug  : LethalMin] AttackDistance set to 0.5
[08:09:05.3211985] [Debug  : LethalMin] JumpLatchOnRange set to 5
[08:09:05.3211985] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[08:09:05.3221978] [Debug  : LethalMin] DeathDamageRange set to 0
[08:09:05.3221978] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[08:09:05.3221978] [Debug  : LethalMin] ShakeEndurance set to 0.75
[08:09:05.3221978] [Debug  : LethalMin] SpawnsIndoors set to False
[08:09:05.3221978] [Debug  : LethalMin] SpawnsOutdoors set to True
[08:09:05.3221978] [Debug  : LethalMin] SpawnsAsSprout set to True
[08:09:05.3221978] [Debug  : LethalMin] UsesPikminContainer set to False
[08:09:05.3231980] [Debug  : LethalMin] SpawnAfterDay set to -1
[08:09:05.3231980] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[08:09:05.3231980] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
