[09:50:46.4803916] [Info   : LethalMin] LethalMin: Registering Items
[09:50:46.5011455] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[09:50:46.5374241] [Info   : LethalMin] Registering 10 Pikmin Types
[09:50:46.5394244] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[09:50:46.5404239] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[09:50:46.5464933] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[09:50:46.5474955] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[09:50:46.5474955] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[09:50:46.5474955] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[09:50:46.5474955] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[09:50:46.5504976] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[09:50:46.5504976] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[09:50:46.5504976] [Debug  : LethalMin] SetGhostColor set to True
[09:50:46.5515497] [Debug  : LethalMin] DisableRegistration set to False
[09:50:46.5515497] [Debug  : LethalMin] SetColorOnSprout set to True
[09:50:46.5515497] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[09:50:46.5515497] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[09:50:46.5525508] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[09:50:46.5525508] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[09:50:46.5535503] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[09:50:46.5535503] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[09:50:46.5545485] [Debug  : LethalMin] DefaultSpeed set to 1
[09:50:46.5545485] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[09:50:46.5545485] [Debug  : LethalMin] CarryStrength set to 4
[09:50:46.5555488] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[09:50:46.5585467] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[09:50:46.5585467] [Debug  : LethalMin] ItemDetectionRange set to 5
[09:50:46.5585467] [Debug  : LethalMin] CanLatchOnToObjects set to True
[09:50:46.5595482] [Debug  : LethalMin] CanJumpOntoObjects set to True
[09:50:46.5595482] [Debug  : LethalMin] CanCarryObjects set to True
[09:50:46.5595482] [Debug  : LethalMin] AttackStrength set to 1
[09:50:46.5595482] [Debug  : LethalMin] AttackRate set to 0.5
[09:50:46.5595482] [Debug  : LethalMin] AttackDistance set to 0.5
