[11:40:44.9763012] [Info   : LethalMin] LethalMin: Registering Items
[11:40:44.9973262] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[11:40:45.0329832] [Info   : LethalMin] Registering 10 Pikmin Types
[11:40:45.0344885] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[11:40:45.0354970] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[11:40:45.0468086] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[11:40:45.0468086] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[11:40:45.0468086] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[11:40:45.0468086] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[11:40:45.0478077] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[11:40:45.0498075] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[11:40:45.0498075] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[11:40:45.0508068] [Debug  : LethalMin] SetGhostColor set to True
[11:40:45.0508068] [Debug  : LethalMin] DisableRegistration set to False
[11:40:45.0508068] [Debug  : LethalMin] SetColorOnSprout set to True
[11:40:45.0518071] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[11:40:45.0518071] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[11:40:45.0528101] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[11:40:45.0528101] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[11:40:45.0538074] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[11:40:45.0553100] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[11:40:45.0553100] [Debug  : LethalMin] DefaultSpeed set to 1
[11:40:45.0553100] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[11:40:45.0553100] [Debug  : LethalMin] CarryStrength set to 3
[11:40:45.0563156] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[11:40:45.0583191] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[11:40:45.0583191] [Debug  : LethalMin] ItemDetectionRange set to 5
[11:40:45.0583191] [Debug  : LethalMin] CanLatchOnToObjects set to True
[11:40:45.0593141] [Debug  : LethalMin] CanJumpOntoObjects set to True
[11:40:45.0593141] [Debug  : LethalMin] CanCarryObjects set to True
[11:40:45.0593141] [Debug  : LethalMin] AttackStrength set to 1
[11:40:45.0593141] [Debug  : LethalMin] AttackRate set to 0.5
[11:40:45.0593141] [Debug  : LethalMin] AttackDistance set to 0.5
[11:40:45.0603150] [Debug  : LethalMin] JumpLatchOnRange set to 5
[11:40:45.0603150] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[11:40:45.0603150] [Debug  : LethalMin] DeathDamageRange set to 0
[11:40:45.0608183] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[11:40:45.0608183] [Debug  : LethalMin] ShakeEndurance set to 0.75
[11:40:45.0608183] [Debug  : LethalMin] SpawnsIndoors set to False
[11:40:45.0613217] [Debug  : LethalMin] SpawnsOutdoors set to True
[11:40:45.0613217] [Debug  : LethalMin] SpawnsAsSprout set to True
[11:40:45.0613217] [Debug  : LethalMin] UsesPikminContainer set to False
[11:40:45.0613217] [Debug  : LethalMin] SpawnAfterDay set to -1
[11:40:45.0613217] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[11:40:45.0623295] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[11:40:45.0623295] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[11:40:45.0623295] [Debug  : LethalMin] InstaEnterOnion set to False
