[12:20:04.0270987] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent Puffmin's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
[12:20:04.0270987] [Info   : LethalMin] LethalMin: Registering Items
[12:20:04.0476242] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[12:20:04.0821346] [Info   : LethalMin] Registering 10 Pikmin Types
[12:20:04.0831342] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[12:20:04.0841346] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[12:20:04.0896397] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[12:20:04.0896397] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[12:20:04.0896397] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[12:20:04.0896397] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[12:20:04.0906448] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[12:20:04.0926496] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[12:20:04.0936507] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[12:20:04.0936507] [Debug  : LethalMin] SetGhostColor set to True
[12:20:04.0936507] [Debug  : LethalMin] DisableRegistration set to False
[12:20:04.0936507] [Debug  : LethalMin] SetColorOnSprout set to True
[12:20:04.0936507] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[12:20:04.0946501] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[12:20:04.0956504] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[12:20:04.0956504] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[12:20:04.0956504] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[12:20:04.0966506] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[12:20:04.0966506] [Debug  : LethalMin] DefaultSpeed set to 1
[12:20:04.0966506] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[12:20:04.0966506] [Debug  : LethalMin] CarryStrength set to 3
[12:20:04.0976506] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[12:20:04.0996503] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[12:20:04.1001543] [Debug  : LethalMin] ItemDetectionRange set to 5
[12:20:04.1001543] [Debug  : LethalMin] CanLatchOnToObjects set to True
[12:20:04.1001543] [Debug  : LethalMin] CanJumpOntoObjects set to True
[12:20:04.1001543] [Debug  : LethalMin] CanCarryObjects set to True
[12:20:04.1001543] [Debug  : LethalMin] AttackStrength set to 1
[12:20:04.1001543] [Debug  : LethalMin] AttackRate set to 0.5
[12:20:04.1001543] [Debug  : LethalMin] AttackDistance set to 0.5
[12:20:04.1011588] [Debug  : LethalMin] JumpLatchOnRange set to 5
[12:20:04.1011588] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[12:20:04.1011588] [Debug  : LethalMin] DeathDamageRange set to 0
[12:20:04.1011588] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[12:20:04.1011588] [Debug  : LethalMin] ShakeEndurance set to 0.75
[12:20:04.1011588] [Debug  : LethalMin] SpawnsIndoors set to False
[12:20:04.1011588] [Debug  : LethalMin] SpawnsOutdoors set to True
[12:20:04.1011588] [Debug  : LethalMin] SpawnsAsSprout set to True
[12:20:04.1021631] [Debug  : LethalMin] UsesPikminContainer set to False
[12:20:04.1021631] [Debug  : LethalMin] SpawnAfterDay set to -1
[12:20:04.1021631] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[12:20:04.1021631] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[12:20:04.1021631] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[12:20:04.1021631] [Debug  : LethalMin] InstaEnterOnion set to False
[12:20:04.1031628] [Debug  : LethalMin] UsePresetFormatting set to True
[12:20:04.1031628] [Debug  : LethalMin] HelpfulLevel set to 45%
[12:20:04.1031628] [Debug  : LethalMin] ScientificName set to Pikminidae caerula
[12:20:04.1031628] [Debug  : LethalMin] piklopediaName set to 
[12:20:04.1031628] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[12:20:04.1031628] [Info   : LethalMin] Config file generated for Pikmin Type: Blue Pikmin at BepInEx/BepInEx\config\Pikmin\Blue Pikmin.cfg
[12:20:04.1051621] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Blue Pikmin"
[12:20:04.1071640] [Info   : LethalMin] Added event at time (4.59) for Pikmin_Stretch
[12:20:04.1071640] [Info   : LethalMin] Added event at time (3.956667) for Pikmin_Yawn
[12:20:04.1071640] [Message: LethalMin] Registered Pikmin Type: Blue Pikmin with ID: 0
[12:20:04.1071640] [Message: LethalMin] Registering Pikmin Type: Bulbmin
[12:20:04.1071640] [Info   : LethalMin] Generating config file for Pikmin Type: Bulbmin
