[13:43:00.1249315] [Info   : LethalMin] LethalMin: Registering Items
[13:43:00.1446928] [Info   : LethalMin] LethalMin: Registering Pikmin Types
[13:43:00.1787391] [Info   : LethalMin] Registering 10 Pikmin Types
[13:43:00.1797381] [Message: LethalMin] Registering Pikmin Type: Blue Pikmin
[13:43:00.1807402] [Info   : LethalMin] Generating config file for Pikmin Type: Blue Pikmin
[13:43:00.1857381] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.000, 0.000, 1.000, 1.000)
[13:43:00.1857381] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[13:43:00.1857381] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[13:43:00.1857381] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[13:43:00.1872454] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[13:43:00.1892505] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[13:43:00.1892505] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[13:43:00.1902501] [Debug  : LethalMin] SetGhostColor set to True
[13:43:00.1902501] [Debug  : LethalMin] DisableRegistration set to False
[13:43:00.1902501] [Debug  : LethalMin] SetColorOnSprout set to True
[13:43:00.1902501] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[13:43:00.1902501] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[13:43:00.1922528] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[13:43:00.1922528] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[13:43:00.1922528] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[13:43:00.1932523] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[13:43:00.1932523] [Debug  : LethalMin] DefaultSpeed set to 1
[13:43:00.1932523] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[13:43:00.1932523] [Debug  : LethalMin] CarryStrength set to 3
[13:43:00.1942503] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[13:43:00.1962520] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[13:43:00.1962520] [Debug  : LethalMin] ItemDetectionRange set to 5
[13:43:00.1962520] [Debug  : LethalMin] CanLatchOnToObjects set to True
[13:43:00.1962520] [Debug  : LethalMin] CanJumpOntoObjects set to True
[13:43:00.1962520] [Debug  : LethalMin] CanCarryObjects set to True
[13:43:00.1972547] [Debug  : LethalMin] AttackStrength set to 1
[13:43:00.1972547] [Debug  : LethalMin] AttackRate set to 0.5
[13:43:00.1972547] [Debug  : LethalMin] AttackDistance set to 0.5
[13:43:00.1972547] [Debug  : LethalMin] JumpLatchOnRange set to 5
[13:43:00.1972547] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[13:43:00.1972547] [Debug  : LethalMin] DeathDamageRange set to 0
[13:43:00.1972547] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[13:43:00.1972547] [Debug  : LethalMin] ShakeEndurance set to 0.75
[13:43:00.1983185] [Debug  : LethalMin] SpawnsIndoors set to False
[13:43:00.1983185] [Debug  : LethalMin] SpawnsOutdoors set to True
[13:43:00.1983185] [Debug  : LethalMin] SpawnsAsSprout set to True
[13:43:00.1983185] [Debug  : LethalMin] UsesPikminContainer set to False
[13:43:00.1983185] [Debug  : LethalMin] SpawnAfterDay set to -1
[13:43:00.1983185] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[13:43:00.1983185] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[13:43:00.1983185] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[13:43:00.1993173] [Debug  : LethalMin] InstaEnterOnion set to False
[13:43:00.1993173] [Debug  : LethalMin] UsePresetFormatting set to True
[13:43:00.1993173] [Debug  : LethalMin] HelpfulLevel set to 45%
[13:43:00.1993173] [Debug  : LethalMin] ScientificName set to Pikminidae caerula
[13:43:00.1993173] [Debug  : LethalMin] piklopediaName set to 
[13:43:00.1993173] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[13:43:00.1993173] [Info   : LethalMin] Config file generated for Pikmin Type: Blue Pikmin at BepInEx/BepInEx\config\Pikmin\Blue Pikmin.cfg
[13:43:00.2013209] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Blue Pikmin"
[13:43:00.2033179] [Info   : LethalMin] Added event at time (4.59) for Pikmin_Stretch
[13:43:00.2033179] [Info   : LethalMin] Added event at time (3.956667) for Pikmin_Yawn
[13:43:00.2033179] [Message: LethalMin] Registered Pikmin Type: Blue Pikmin with ID: 0
[13:43:00.2033179] [Message: LethalMin] Registering Pikmin Type: Bulbmin
[13:43:00.2033179] [Info   : LethalMin] Generating config file for Pikmin Type: Bulbmin
[13:43:00.2103942] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(0.906, 0.608, 0.365, 1.000)
[13:43:00.2103942] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.224, 0.000, 1.000)
[13:43:00.2103942] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[13:43:00.2103942] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[13:43:00.2103942] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[13:43:00.2103942] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.50)
[13:43:00.2103942] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, -0.25)
[13:43:00.2113963] [Debug  : LethalMin] SetGhostColor set to False
[13:43:00.2113963] [Debug  : LethalMin] DisableRegistration set to False
[13:43:00.2113963] [Debug  : LethalMin] SetColorOnSprout set to True
[13:43:00.2113963] [Debug  : LethalMin] UseOverrideSproutGlowColor set to True
[13:43:00.2113963] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(0.220, 1.000, 0.000, 1.000)
[13:43:00.2113963] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[13:43:00.2123941] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[13:43:00.2123941] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[13:43:00.2123941] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[13:43:00.2123941] [Debug  : LethalMin] DefaultSpeed set to 1
[13:43:00.2123941] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[13:43:00.2123941] [Debug  : LethalMin] CarryStrength set to 3
