moon_index,moon_display,moon_name,dawn_key,interior_index,interior,flow_id,current_classification,supported_selection_classification,evidence_basis
30,Black Mesa,Black Mesa,black_mesa:black_mesa,10,Bunker,BunkerFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,11,Drains,DrainsFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,12,Substation,SubstationFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,13,Liminal Facility,BackroomsFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,14,Storehouse,SHFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,15,Tower,TowerFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,26,Circus Facility,CircusFacilityFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,27,Atlantean Citadel,AquaticDungeonFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,28,Deep Sewers,DeepSewersFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,29,Fractured Complex,FracturedComplexFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,30,Greenhouse,GreenhouseFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,31,Art Gallery,MuseumInteriorFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,32,Decrepit store,StoreFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,33,Expanded facility,ExpandedFacility,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,34,Expanded Mineshaft,Level3ButCoolFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,35,Grand Armory,GrandArmoryFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,36,Spooky manor,SpookyManorFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,40,ScoopyCastle,CastleFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,42,Slaughterhouse,SlaughterhouseFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,49,Storage Complex,StorageComplex,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,52,Rubber Rooms,RubberRoomsFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
30,Black Mesa,Black Mesa,black_mesa:black_mesa,53,Toy Store,ToystoreFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,10,Bunker,BunkerFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,11,Drains,DrainsFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,12,Substation,SubstationFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,13,Liminal Facility,BackroomsFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
