guid,instance_count,observed_name_overrides,resolution_status,checkpoint,asset_kind,asset_path,asset_git_blob,topology_proven
"00c13fd886bbde0468773fd53988bf0c","1","SallyButton","SOURCE_PATH_UNRESOLVED","","","","","false"
"018ee60ec7481dd478e0ec3c84a6ca7c","3","Door (2) | Door | Door (3)","SOURCE_PATH_RESOLVED","C3E2A","UNITY_PREFAB_YAML","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/Structures/JimothyCabin/Decoration/Door.prefab","7c2216f504940640edacf4e7d4dac1102e50e95d","false"
"025216f4fc1fe2840813c1b5b5f5fe77","2","WebCorner1 | WebCorner1 (1)","SOURCE_PATH_UNRESOLVED","","","","","false"
"065969f6306fe6f42874cc8acdff9a36","1","Crew333Note","SOURCE_PATH_UNRESOLVED","","","","","false"
"0953fe9113fa46f40945100c5365cedf","7","Cereal (5) | Cereal | Cereal (2) | Cereal (1) | Cereal (3) | Cereal (4) | Cereal (6)","SOURCE_PATH_UNRESOLVED","","","","","false"
"0e2094ec3e04c5a4db50bd4e549fd4a9","8","DecoContainerRedOpen1Side | DecoContainerRedOpen1Side (2) | DecoContainerRedOpen1Side (1)","SOURCE_PATH_UNRESOLVED","","","","","false"
"1109162ee094dea40a82d2c161aad356","1","SpecialHiddenSpawn","SOURCE_PATH_UNRESOLVED","","","","","false"
"13ef26232b9f28d44bf95992457cae59","8","OxydeRock.004 (6) | OxydeRock.004 (9) | OxydeRock.004 (2) | OxydeRock.004 | OxydeRock.004 (7) | OxydeRock.004 (10) | OxydeRock.004 (8) | OxydeRock.004 (13)","SOURCE_PATH_UNRESOLVED","","","","","false"
"14156d1d43929fe4cb1c22bf21d1d2e1","8","Plate (2) | Plate (5) | Plate (3) | Plate (1) | Plate (6) | Plate (7) | Plate | Plate (4)","SOURCE_PATH_UNRESOLVED","","","","","false"
"142694d3057aad743a0c43c50f6b1064","2","BaubleCactus (1) | BaubleCactus","SOURCE_PATH_UNRESOLVED","","","","","false"
"146370c43ba8a5d4fa87d3cf69591fe2","9","OxydeRock.007 (22) | OxydeRock.007 (7) | OxydeRock.007 (21) | OxydeRock.007 (16) | OxydeRock.007 (18) | OxydeRock.007 (6) | OxydeRock.007 (19) | OxydeRock.007 (20) | OxydeRock.007 (17)","SOURCE_PATH_UNRESOLVED","","","","","false"
"18fe2119279a1b64d9b5becb90b52246","1","AssCrewPhoto","SOURCE_PATH_UNRESOLVED","","","","","false"
